!Stage,Scenario,Best Integer Solution Found (k$),Best Bound (k$),Relative Gap (%),Time (s),MIP Threads,Heur. Method
1,1,-143717,-143645,   0.04969,322.013,8,1
1,1,-144209,-143952,   0.17793,515.762,8,1
1,1,-144398,-144219,   0.12349,226.51,8,1
1,1,-144644,-144409,   0.16200,507.852,8,1
1,1,-144729,-144686,   0.02984,236.465,8,1
1,1,-144978,-144959,   0.01336,359.694,8,1
1,1,-145577,-145528,   0.03409,225.042,8,1
1,1,-145744,-145593,   0.10362,210.308,8,1
1,1,-145803,-145781,   0.01524,620.276,8,1
1,1,-146078,-146055,   0.01536,695.072,8,1
1,1,-146144,-146115,   0.01999,648.026,8,1
1,1,-146241,-146186,   0.03765,634.215,8,1
1,1,-146646,-146360,   0.19458,571.526,8,1
1,1,-147394,-147311,   0.05646,318.371,8,1
1,1,-147730,-147404,   0.22096,188.943,8,1
1,1,-148433,-148403,   0.01991,256.677,8,1
1,1,-149141,-149119,   0.01478,306.179,8,1
1,1,-149215,-149194,   0.01404,273.469,8,1
1,1,-149968,-149928,   0.02624,212.962,8,1
1,1,-150081,-150031,   0.03304,257.153,8,1
1,1,-150431,-150111,   0.21315,235.195,8,1
1,1,-150496,-150475,   0.01392,170.512,8,1
1,1,-150728,-150701,   0.01763,155.557,8,1
1,1,-151055,-150748,   0.20349,129.007,8,1
1,1,-151196,-151181,   0.01010,130.371,8,1
1,1,-151349,-151319,   0.02037,179.24,8,1
1,1,-151399,-151385,   0.00923,167.179,8,1
1,1,-151552,-151416,   0.08953,86.944,8,1
1,1,-151721,-151642,   0.05172,97.157,8,1
1,1,-151788,-151766,   0.01458,373.838,8,1
1,1,-153711,-153699,   0.00791,211.181,8,1
1,1,-153711,-153711,   0.00000,24.666,8,1
1,1,-152529,-151927,   0.39493,984.221,8,1
1,1,-152529,-151927,   0.39493,0.0139999,8,1
