Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,   632.29999,   633.18011,   633.18011,   632.07996,   634.95813,   632.29932,   760.44446,  1396.85974,   996.00000,  1261.61462,  2500.00000,     0.00000,  1202.95862,     0.00000,  1000.00000,     0.00000
   2,   1,   1,   632.29999,   632.29999,   631.41992,   630.83490,   630.34912,   630.36450,     0.00000,   636.00000,   996.00000,  1261.56189,  1750.00000,     0.00000,  2500.00000,     0.00000,   794.38812,     0.00000
   3,   1,   1,   632.29999,   632.29999,   630.09155,   630.67657,   630.75574,   634.18323,     0.00000,   636.00000,   996.00000,  1262.82983,  1750.00000,     0.00000,  2500.00000,     0.00000,   791.06415,     0.00000
   4,   1,   1,   632.29999,   632.29999,   633.62836,   632.29999,   631.48828,   632.65363,     0.00000,   636.00000,   996.00000,  1260.85730,  1000.00000,     0.00000,   416.66928,     0.00000,  1750.00000,     0.00000
   5,   1,   1,   632.29999,   632.29999,   634.06018,   633.91937,   634.21802,   631.65802,     0.00000,   636.00000,   996.00000,  1259.81641,  1000.00000,     0.00000,   972.18225,     0.00000,  1000.00000,     0.00000
   6,   1,   1,   632.29999,   632.29999,   629.21149,   630.68066,   631.19165,   630.01642,     0.00000,   636.00000,   996.00000,  1259.59460,  1000.00000,     0.00000,   415.34412,     0.00000,  1750.00000,     0.00000
   7,   1,   1,   632.29999,   632.29999,   632.29999,   634.50842,   633.70288,   633.95874,     0.00000,  1366.23462,   996.00000,  2542.49048,  1000.00000,     0.00000,   414.07956,     0.00000,  1350.20068,     0.00000
   8,   1,   1,   633.40009,   632.52002,   632.29999,   630.09155,   631.19165,   631.59924,     0.00000,   636.00000,   996.00000,  1232.59363,  1000.00000,     0.00000,  2500.00000,     0.00000,   794.80457,     0.00000
   9,   1,   1,   632.29999,   634.28845,   633.62012,   632.29999,   631.19580,   632.44727,   391.60001,   636.00000,   936.73792,  1242.28406,  1750.00000,     0.00000,  2500.00000,     0.00000,   791.48145,     0.00000
  10,   1,   1,   632.29999,   632.29999,   634.28839,   632.29999,   632.29999,   633.55286,   569.71283,   636.00000,   996.00000,  1244.20410,  1000.00000,     0.00000,  2500.00000,     0.00000,  1207.88879,     0.00000
  11,   1,   1,   631.19989,   630.97162,   629.87152,   632.29999,   632.29999,   630.08813,   469.39246,   636.00000,   996.00000,  1246.61755,  1000.00000,     0.00000,   420.89069,     0.00000,  2084.77808,     0.00000
  12,   1,   1,   633.40009,   632.74829,   633.84839,   632.29999,   633.40833,   632.85352,   918.89471,  1394.80005,   996.00000,  1360.00012,  1000.00000,     0.00000,   419.63809,     0.00000,   802.85449,     0.00000
  13,   1,   1,   631.19989,   632.96008,   632.07996,   632.29999,   631.19165,   631.19440,     0.00000,   636.00000,   767.96210,  1249.83777,  1000.00000,     0.00000,  2500.00000,     0.00000,   789.61914,     0.00000
  14,   1,   1,   632.29999,   631.41992,   632.29999,   632.29999,   632.29999,   632.85419,     0.00000,  1516.96594,   996.00000,  1687.09998,  1000.00000,     0.00000,   421.61484,     0.00000,  1750.00000,     0.00000
  15,   1,   1,   633.40009,   631.41168,   632.29999,   632.52002,   632.41003,   632.29999,   710.53070,  1095.94666,   996.00000,  1489.09973,  1277.39783,     0.00000,   420.24414,     0.00000,   789.68292,     0.00000
  16,   1,   1,   631.75543,   634.17957,   632.29999,   635.16852,   633.84424,   631.74585,   710.48645,   812.68738,   996.00000,  1687.09998,  1184.72107,     0.00000,   514.21393,     0.00000,   790.36487,     0.00000
  17,   1,   1,   631.74445,   631.75323,   632.29999,   630.83490,   633.00171,   632.35498,   710.44220,   636.00000,   996.00000,  1687.09998,  1000.00000,     0.00000,   813.91064,     0.00000,   790.78491,     0.00000
  18,   1,   1,   632.29999,   630.74719,   632.29999,   630.67657,   630.75574,   633.12714,   710.39795,  1015.40002,   996.00000,  1687.09998,  2500.00000,     0.00000,   510.75284,     0.00000,   790.85681,     0.00000
  19,   1,   1,   632.29999,   632.29999,   632.29999,   633.91937,   633.40631,   634.52856,   710.35370,  2253.16870,   996.00000,  3300.20239,  4028.87646,     0.00000,  3957.78662,     0.00000,  2819.29907,     0.00000
  20,   1,   1,   632.29999,   632.29999,   632.52002,   630.68066,   632.29999,   631.87872,   710.30945,  2252.06494,   996.00000,  3299.10205,  4023.35498,     0.00000,  3908.92480,     0.00000,  2863.62109,     0.00000
  21,   1,   1,   633.40009,   632.52002,   635.38855,   634.13910,   631.30151,   630.97540,   710.26520,  2250.96191,   996.00000,  3298.00293,  3253.21387,     0.00000,  2850.92456,     0.00000,  4442.77588,     0.00000
  22,   1,   1,   631.19989,   634.06842,   632.29999,   634.88055,   635.61816,   633.95874,   710.22095,  2249.86011,   996.00000,  3953.57568,  3175.25562,     0.00000,  2668.18506,     0.00000,  4324.11133,     0.00000
  23,   1,   1,   632.29999,   630.31152,   629.87152,   628.98047,   630.82214,   630.69513,   253.00000,   636.00000,   996.00000,  1030.42883,  1000.00000,     0.00000,  2500.00000,     0.00000,   792.69440,     0.00000
  24,   1,   1,   632.29999,   633.40839,   633.84839,   634.50842,   632.85278,   634.56543,     0.00000,  1177.82324,   996.00000,  3982.80005,  1093.68372,     0.00000,  1000.00000,     0.00000,  1000.00000,     0.00000
  25,   1,   1,   633.40009,   631.41168,   632.96008,   633.18011,   632.73596,   633.22015,   338.05075,   636.00000,   996.00000,  1211.85303,   342.00000,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  26,   1,   1,   631.19989,   634.06842,   631.41992,   631.41992,   633.40833,   631.83746,   253.00000,   636.00000,   996.00000,  1219.64746,  2616.04712,     0.00000,   823.78461,     0.00000,  1000.00000,     0.00000
  27,   1,   1,   632.29999,   630.31152,   630.31152,   630.09155,   629.64740,   631.68872,   253.00000,   636.00000,   736.80298,  1220.94128,   342.00000,     0.00000,   414.07956,     0.00000,  2500.00000,     0.00000
  28,   1,   1,   632.29999,   632.29999,   635.27966,   633.62836,   631.85999,   634.17773,     0.00000,   636.00000,   996.00000,  1622.13867,   451.66467,     0.00000,   470.92432,     0.00000,  1750.00000,     0.00000
  29,   1,   1,   632.29999,   633.40839,   631.75323,   634.06018,   634.95258,   631.52789,   469.62091,   636.00000,   996.00000,  1376.55225,   782.69604,     0.00000,   414.07956,     0.00000,  1000.00000,     0.00000
  30,   1,   1,   632.29999,   631.19165,   629.64709,   629.21149,   630.52747,   630.75366,     0.00000,   636.00000,   969.91272,  1035.05322,  3120.64307,     0.00000,  1750.00000,     0.00000,  1000.00000,     0.00000
  31,   1,   1,   632.29999,   633.40839,   632.29999,   632.29999,   630.75574,   632.30066,   253.00000,   636.00000,   883.48425,   850.65704,  2500.00000,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  32,   1,   1,   632.29999,   631.19165,   632.29999,   632.29999,   632.29999,   632.74005,   307.49097,   636.00000,   996.00000,  1665.00000,   973.49561,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  33,   1,   1,   633.40009,   633.62836,   632.52002,   633.62012,   634.06842,   631.74719,     0.00000,   692.09491,   996.00000,  1687.09998,  1595.77991,     0.00000,  2768.68384,     0.00000,  2433.30225,     0.00000
  34,   1,   1,   632.29999,   633.18011,   635.16852,   634.28839,   633.95428,   631.52789,   790.39783,   636.00000,   996.00000,  2415.61255,   921.31390,     0.00000,  2500.00000,     0.00000,  1898.89282,     0.00000
