Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,   284.62396,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.94147,   110.75000,    85.33812,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,   284.62396,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67593,   169.10001,   212.30000,   140.93591,   110.53000,    85.46000,    52.44859,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67586,   169.10001,   212.30000,   140.93037,   110.53000,    85.46000,    52.44421,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67578,   169.10001,   212.30000,   140.93338,   110.38000,    85.31834,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,   284.62396,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67570,   169.10001,   212.30000,   140.93637,   110.38000,    85.32944,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67563,   169.10001,   212.30000,   140.93935,   110.38000,    85.31831,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67554,   169.10001,   212.30000,   140.94525,   110.38000,    85.31828,    52.96281,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67546,   169.10001,   212.30000,   140.95987,   110.38000,    85.46000,    52.44914,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.95401,   110.53000,    85.46000,    52.44476,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.95679,   110.38000,    85.46000,    52.86414,     0.00000,     0.00000,     0.00000,     0.00000
  11,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.95959,   110.38000,    85.31842,    53.43194,     0.00000,     0.00000,     0.00000,     0.00000
  12,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.96268,   110.38000,    85.31839,    52.45977,     0.00000,     0.00000,     0.00000,     0.00000
  13,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67545,   169.10001,   212.30000,   140.96655,   110.38000,    85.46000,    52.44230,     0.00000,     0.00000,     0.00000,     0.00000
  14,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67537,   169.10001,   212.30000,   140.97041,   110.38000,    85.31844,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
  15,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.97466,   110.43548,    85.31841,    52.44238,     0.00000,     0.00000,     0.00000,     0.00000
  16,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.97859,   110.41695,    85.32028,    52.44328,     0.00000,     0.00000,     0.00000,     0.00000
  17,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.98643,   110.38000,    85.32628,    52.44384,     0.00000,     0.00000,     0.00000,     0.00000
  18,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.97719,   110.75000,    85.32021,    52.44393,     0.00000,     0.00000,     0.00000,     0.00000
  19,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.95419,   111.23924,    85.81715,    53.81475,     0.00000,     0.00000,     0.00000,     0.00000
  20,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.94595,   111.23747,    85.80518,    53.83484,     0.00000,     0.00000,     0.00000,     0.00000
  21,   1,   1,   284.62396,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.94650,   110.99103,    85.54597,    54.55072,     0.00000,     0.00000,     0.00000,     0.00000
  22,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.94940,   110.96608,    85.59198,    54.49693,     0.00000,     0.00000,     0.00000,     0.00000
  23,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.97643,   110.38000,    85.59823,    52.44636,     0.00000,     0.00000,     0.00000,     0.00000
  24,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67551,   169.10001,   212.30000,   140.98245,   110.39874,    85.38216,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
  25,   1,   1,   284.62396,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.01765,   110.35368,    85.46000,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
  26,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.00169,   110.78713,    85.32648,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
  27,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.01172,   110.35368,    85.31828,    53.67000,     0.00000,     0.00000,     0.00000,     0.00000
  28,   1,   1,   284.62396,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67534,   169.10001,   212.30000,   141.02141,   110.35807,    85.31942,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
  29,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.03044,   110.37131,    85.31828,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
  30,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67525,   169.10001,   212.30000,   141.00980,   110.94861,    85.44953,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
  31,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.99269,   110.75000,    85.62222,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
  32,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.99286,   110.38000,    85.58427,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
  33,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.67509,   169.10001,   212.30000,   140.99196,   110.53000,    85.52583,    53.63176,     0.00000,     0.00000,     0.00000,     0.00000
  34,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.00237,   110.37685,    85.46000,    53.32537,     0.00000,     0.00000,     0.00000,     0.00000
  35,   1,   1,   284.62000,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   140.99796,   110.77170,    85.36000,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
  36,   1,   1,   284.62000,   274.17001,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.00432,   110.37646,    85.33000,    53.24000,     0.00000,     0.00000,     0.00000,     0.00000
  37,   1,   1,   284.62396,   274.17212,   257.00000,   247.49001,   229.21001,   217.00000,   208.60025,   216.41000,   169.10001,   212.30000,   141.00063,   110.75000,    85.31834,    52.72000,     0.00000,     0.00000,     0.00000,     0.00000
