Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,    65.64944,    53.65746,    92.54988,    39.31270,    92.80152,    65.28923,   261.49908,   136.36804,   197.17523,   242.69289,   672.62256,     0.00000,   268.00269,     0.00000,   286.03430,     0.00000
   2,   1,   1,    65.64944,    53.58328,    92.29320,    39.23545,    92.13281,    65.08994,     0.00000,    69.60831,   197.16678,   242.68094,   472.08597,     0.00000,   554.85413,     0.00000,   230.00000,     0.00000
   3,   1,   1,    65.64944,    53.56806,    92.11800,    39.22563,    92.19181,    65.48326,     0.00000,    69.60831,   197.15833,   242.96815,   472.06876,     0.00000,   554.49738,     0.00000,   230.00000,     0.00000
   4,   1,   1,    65.64944,    53.56794,    92.63392,    39.32635,    92.29810,    65.32571,     0.00000,    69.60831,   197.14987,   242.52135,   271.34146,     0.00000,    94.00000,     0.00000,   495.17270,     0.00000
   5,   1,   1,    65.64944,    53.58328,    92.67823,    39.42681,    92.69415,    65.22318,     0.00000,    69.60831,   197.14142,   242.28555,   271.35074,     0.00000,   217.05461,     0.00000,   287.22903,     0.00000
   6,   1,   1,    65.64944,    53.56809,    91.98962,    39.22588,    92.25506,    65.05409,     0.00000,    69.60831,   197.13295,   242.23534,   271.35999,     0.00000,    94.00000,     0.00000,   494.44736,     0.00000
   7,   1,   1,    65.64944,    53.56799,    92.44015,    39.46336,    92.61940,    65.46014,     0.00000,   133.68092,   197.12450,   430.80249,   271.37830,     0.00000,    94.00000,     0.00000,   383.23544,     0.00000
   8,   1,   1,    65.73354,    53.58653,    92.44015,    39.18933,    92.25506,    65.21712,     0.00000,    69.60831,   197.11604,   236.11916,   271.42368,     0.00000,   554.92151,     0.00000,   230.00000,     0.00000
   9,   1,   1,    65.64964,    53.72208,    92.61405,    39.32635,    92.25565,    65.30447,   133.54193,    69.60831,   185.43343,   238.31419,   472.14209,     0.00000,   554.27869,     0.00000,   230.00000,     0.00000
  10,   1,   1,    65.64964,    53.55449,    92.71151,    39.32635,    92.41586,    65.41833,   197.14729,    69.60831,   197.12181,   238.74913,   271.41412,     0.00000,   553.85040,     0.00000,   345.44653,     0.00000
  11,   1,   1,    65.53836,    53.45612,    92.08591,    39.32635,    92.41586,    65.06148,   161.33345,    69.60831,   197.11336,   239.29582,   271.42282,     0.00000,    94.00000,     0.00000,   588.44806,     0.00000
