Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,    7
Estg,Ser.,Pat.,Sydney      ,New York    ,DorrieR1    ,DorrieR2    ,Solar       ,Wind_2024   ,DSM and DR  
  50,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
  51,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  285.27    
  52,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  215.04    
  53,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  215.04    
  54,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  446.40    ,  215.04    
  55,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  513.49    
  56,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  513.49    
  57,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  513.49    
  58,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  513.49    
  59,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  513.49    
  60,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  513.49    
  61,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  394.86    
  62,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  394.86    
  63,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  394.86    
  64,   1,   1,  8.0500    ,  0.0000    ,  3.0000    ,  3.0000    ,  0.0000    ,  433.79    ,  394.86    
