Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      
   1,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.71004,   253.95943,   184.33682,   233.99907,   159.00000,   140.94147,   110.14729,    84.84637,   168.50000,   258.47000
   2,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70998,   253.96004,   184.33830,   233.99814,   158.99434,   140.93591,   110.12841,    84.93023,   168.50000,   258.47000
   3,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70990,   253.96063,   184.33978,   233.99721,   158.99149,   140.93037,   110.03320,    85.14466,   168.50000,   258.47000
   4,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70982,   253.96124,   184.34125,   233.99628,   158.99030,   140.93338,   110.18394,    85.18655,   168.50000,   258.47000
   5,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70976,   253.96185,   184.34273,   233.99535,   158.99107,   140.93637,   110.18768,    85.12739,   168.50000,   258.47000
   6,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70969,   253.96246,   184.34421,   233.99442,   158.99358,   140.93935,   110.26226,    85.01593,   168.50000,   258.47000
   7,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70963,   253.96306,   184.34285,   233.99348,   158.95096,   140.94525,   110.33700,    84.89872,   168.50000,   258.47000
   8,   1,   1,   299.10001,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70955,   253.96367,   184.34433,   233.99255,   158.95659,   140.95987,   110.14639,    84.90337,   168.50000,   258.47000
   9,   1,   1,   299.10001,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70953,   253.96367,   184.34581,   233.99413,   158.97136,   140.95401,   109.97485,    85.11774,   168.50000,   258.47000
  10,   1,   1,   299.10001,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70955,   253.96339,   184.34729,   233.99319,   158.97824,   140.95679,   109.86057,    85.27989,   168.50000,   258.47000
