Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  0.0000    ,  633.18    ,  632.08    ,  632.08    ,  633.85    ,  631.19    ,  1392.7    ,  0.0000    ,  991.40    ,  962.80    ,  1208.5    ,  1622.4    ,  842.10    ,  571.86    ,  1208.5    ,  0.0000    ,  570.51    ,  570.51    
   2,   1,   1,  0.0000    ,  632.30    ,  631.42    ,  630.83    ,  631.46    ,  631.47    ,  630.36    ,  0.0000    ,  991.40    ,  962.80    ,  1080.4    ,  1261.6    ,  2350.0    ,  1462.4    ,  1080.4    ,  0.0000    ,  442.42    ,  442.42    
   3,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  630.68    ,  630.76    ,  634.18    ,  634.18    ,  0.0000    ,  991.40    ,  962.80    ,  1145.3    ,  1261.8    ,  1750.0    ,  2500.0    ,  1145.3    ,  0.0000    ,  507.34    ,  507.34    
   4,   1,   1,  0.0000    ,  632.30    ,  633.63    ,  632.30    ,  631.49    ,  632.65    ,  632.65    ,  0.0000    ,  991.40    ,  962.80    ,  1180.8    ,  1262.4    ,  1600.0    ,  2083.3    ,  1180.8    ,  0.0000    ,  542.80    ,  542.80    
   5,   1,   1,  0.0000    ,  632.30    ,  632.96    ,  633.92    ,  633.11    ,  630.55    ,  631.66    ,  0.0000    ,  991.40    ,  962.80    ,  1224.2    ,  1260.6    ,  1000.0    ,  527.77    ,  1224.2    ,  0.0000    ,  586.16    ,  586.16    
   6,   1,   1,  0.0000    ,  632.30    ,  630.31    ,  630.68    ,  632.30    ,  631.12    ,  630.02    ,  0.0000    ,  991.40    ,  962.80    ,  1263.2    ,  1259.8    ,  1000.0    ,  860.81    ,  1263.2    ,  0.0000    ,  625.16    ,  625.16    
   7,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  634.51    ,  632.59    ,  632.85    ,  633.96    ,  0.0000    ,  991.40    ,  962.80    ,  1525.6    ,  1516.2    ,  1000.0    ,  415.09    ,  1525.6    ,  0.0000    ,  887.64    ,  887.64    
   8,   1,   1,  0.0000    ,  632.52    ,  632.30    ,  630.09    ,  632.30    ,  632.70    ,  631.60    ,  0.0000    ,  991.40    ,  962.80    ,  1306.9    ,  2280.5    ,  1000.0    ,  831.26    ,  1306.9    ,  0.0000    ,  668.92    ,  668.92    
   9,   1,   1,  0.0000    ,  633.18    ,  632.52    ,  632.30    ,  631.20    ,  632.45    ,  1024.0    ,  0.0000    ,  991.40    ,  962.80    ,  1523.3    ,  1234.5    ,  1150.0    ,  2500.0    ,  1523.3    ,  0.0000    ,  885.34    ,  885.34    
  10,   1,   1,  0.0000    ,  632.30    ,  634.29    ,  632.30    ,  632.30    ,  632.45    ,  1203.3    ,  0.0000    ,  991.40    ,  962.80    ,  1346.5    ,  1242.7    ,  1600.0    ,  2500.0    ,  1346.5    ,  0.0000    ,  708.50    ,  708.50    
