Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  632.30    ,  633.18    ,  633.18    ,  632.08    ,  634.96    ,  632.30    ,  943.00    ,  760.44    ,  1396.9    ,  996.00    ,  1261.6    ,  2500.0    ,  1203.0    ,  1000.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   2,   1,   1,  632.30    ,  632.30    ,  631.42    ,  630.83    ,  630.35    ,  630.36    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1261.6    ,  1750.0    ,  2500.0    ,  794.39    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   3,   1,   1,  632.30    ,  632.30    ,  630.09    ,  630.68    ,  630.76    ,  634.18    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1262.8    ,  1750.0    ,  2500.0    ,  791.06    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   4,   1,   1,  632.30    ,  632.30    ,  633.63    ,  632.30    ,  631.49    ,  632.65    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1260.9    ,  1000.0    ,  416.67    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   5,   1,   1,  632.30    ,  632.30    ,  634.06    ,  633.92    ,  634.22    ,  631.66    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1259.8    ,  1000.0    ,  972.18    ,  1000.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   6,   1,   1,  632.30    ,  632.30    ,  629.21    ,  630.68    ,  631.19    ,  630.02    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1259.6    ,  1000.0    ,  415.34    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   7,   1,   1,  632.30    ,  632.30    ,  632.30    ,  634.51    ,  633.70    ,  633.96    ,  943.00    ,  0.0000    ,  1366.2    ,  996.00    ,  2542.5    ,  1000.0    ,  414.08    ,  1350.2    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   8,   1,   1,  633.40    ,  632.52    ,  632.30    ,  630.09    ,  631.19    ,  631.60    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1232.6    ,  1000.0    ,  2500.0    ,  794.80    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   9,   1,   1,  632.30    ,  634.29    ,  633.62    ,  632.30    ,  631.20    ,  632.45    ,  943.00    ,  391.60    ,  636.00    ,  936.74    ,  1242.3    ,  1750.0    ,  2500.0    ,  791.48    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  10,   1,   1,  632.30    ,  632.30    ,  634.29    ,  632.30    ,  632.30    ,  633.55    ,  943.00    ,  569.71    ,  636.00    ,  996.00    ,  1244.2    ,  1000.0    ,  2500.0    ,  1207.9    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
