!Stage,Scenario,Best Integer Solution Found (k$),Best Bound (k$),Relative Gap (%),Time (s),MIP Threads,Heur. Method
1,1,-67829.9,-67809,   0.03076,632.411,8,1
1,1,-67864.4,-67854.1,   0.01527,1630.66,8,1
1,1,-67938.3,-67867,   0.10496,166.092,8,1
1,1,-68107.1,-67944.1,   0.23933,434.856,8,1
1,1,-68187.9,-68173.5,   0.02109,339.347,8,1
1,1,-68351.8,-68192.1,   0.23364,230.329,8,1
1,1,-68411,-68397,   0.02037,732.328,8,1
1,1,-68602.8,-68416.8,   0.27114,274.957,8,1
1,1,-68735.9,-68633.4,   0.14914,952.87,8,1
1,1,-68815.8,-68741.7,   0.10759,357.384,8,1
1,1,-68866.5,-68847,   0.02832,770.223,8,1
1,1,-68971.7,-68925.5,   0.06704,394.032,8,1
1,1,-69011.6,-68991.3,   0.02951,537.053,8,1
1,1,-69081,-69033.8,   0.06837,387.966,8,1
1,1,-69155.7,-69083.9,   0.10391,456.193,8,1
1,1,-69206.5,-69170.7,   0.05171,157.245,8,1
1,1,-69248.3,-69221.1,   0.03929,223.455,8,1
1,1,-69274.9,-69267,   0.01139,460.49,8,1
1,1,-69343.1,-69312.6,   0.04387,201.333,8,1
1,1,-69438,-69348.9,   0.12819,200.785,8,1
1,1,-69520.5,-69466.4,   0.07784,171.668,8,1
1,1,-69685.9,-69526.3,   0.22905,422.974,8,1
1,1,-69814.1,-69691.1,   0.17623,210.854,8,1
1,1,-69914.7,-69819.9,   0.13564,262.423,8,1
1,1,-69937.5,-69931.8,   0.00811,258.967,8,1
1,1,-70081.9,-69950.7,   0.18718,209.266,8,1
1,1,-70215.7,-70086.7,   0.18373,180.568,8,1
1,1,-70276.9,-70233.7,   0.06153,125.738,8,1
1,1,-70355.3,-70298,   0.08142,394.625,8,1
1,1,-70399.4,-70365,   0.04895,344.259,8,1
1,1,-70423.1,-70413.9,   0.01309,315.878,8,1
1,1,-70423.1,-70423.2,   0.00001,45.124,8,1
1,1,-69964.5,-69518.1,   0.63804,4071.04,8,1
1,1,-69964.5,-69518.1,   0.63804,0.023,8,1
