Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  0.0000    ,  633.18    ,  632.30    ,  630.09    ,  632.86    ,  632.04    ,  1342.2    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1342.8    ,  918.39    ,  1000.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
   2,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  634.51    ,  632.30    ,  632.17    ,  633.28    ,  0.0000    ,  991.40    ,  962.80    ,  1351.2    ,  1630.5    ,  2619.1    ,  1585.2    ,  1351.2    ,  0.0000    ,  713.17    ,  713.17    
   3,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  630.61    ,  632.56    ,  633.41    ,  1343.6    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1460.8    ,  1170.4    ,  3341.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
   4,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  631.78    ,  631.20    ,  633.13    ,  633.13    ,  0.0000    ,  991.40    ,  962.80    ,  1211.8    ,  1602.7    ,  1812.6    ,  1000.0    ,  1211.8    ,  0.0000    ,  573.79    ,  573.79    
   5,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.04    ,  632.98    ,  1342.1    ,  0.0000    ,  991.40    ,  962.80    ,  1405.9    ,  1303.7    ,  1524.0    ,  1000.0    ,  1405.9    ,  0.0000    ,  767.94    ,  767.94    
   6,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.81    ,  632.56    ,  631.88    ,  632.98    ,  0.0000    ,  991.40    ,  962.80    ,  1551.6    ,  1488.2    ,  1150.0    ,  1096.7    ,  1551.6    ,  0.0000    ,  913.60    ,  913.60    
   7,   1,   1,  0.0000    ,  632.30    ,  633.41    ,  631.79    ,  632.30    ,  631.06    ,  631.06    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1630.1    ,  1750.0    ,  1269.6    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
   8,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  632.30    ,  632.04    ,  631.75    ,  630.64    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1714.0    ,  1750.0    ,  862.22    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
   9,   1,   1,  0.0000    ,  632.30    ,  633.41    ,  634.51    ,  633.40    ,  632.98    ,  634.09    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  2098.3    ,  1600.0    ,  2323.8    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  10,   1,   1,  0.0000    ,  632.52    ,  632.30    ,  632.30    ,  633.40    ,  632.17    ,  1342.6    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  3381.4    ,  1300.0    ,  1000.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  11,   1,   1,  0.0000    ,  632.96    ,  631.19    ,  630.09    ,  631.20    ,  632.72    ,  1342.0    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1220.0    ,  2229.3    ,  1300.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  12,   1,   1,  0.0000    ,  631.42    ,  633.63    ,  633.92    ,  632.01    ,  633.96    ,  635.06    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1324.4    ,  1267.2    ,  2500.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  13,   1,   1,  0.0000    ,  632.30    ,  634.29    ,  632.30    ,  633.11    ,  631.75    ,  1341.0    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1616.8    ,  1553.5    ,  2350.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  14,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  632.30    ,  632.30    ,  631.60    ,  632.71    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1236.3    ,  956.52    ,  1750.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  15,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  630.68    ,  631.49    ,  632.56    ,  1198.5    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1246.5    ,  1438.1    ,  1900.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  16,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  631.49    ,  632.71    ,  1344.2    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1409.2    ,  515.03    ,  2084.3    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  17,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  631.90    ,  630.79    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1902.8    ,  1367.2    ,  837.21    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  18,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  630.94    ,  630.94    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1399.5    ,  1985.1    ,  2500.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  19,   1,   1,  0.0000    ,  632.30    ,  633.41    ,  634.51    ,  633.40    ,  631.89    ,  1343.4    ,  0.0000    ,  991.40    ,  962.80    ,  2939.3    ,  1948.2    ,  2320.7    ,  2615.4    ,  2939.3    ,  0.0000    ,  996.00    ,  996.00    
