Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      
   1,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.71004,   253.95950,   184.33978,   233.99907,   159.00000,   140.93231,   110.18281,    84.92586,   168.50000,   258.47000
   2,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70996,   253.96011,   184.33809,   233.99814,   159.00000,   140.93951,   110.01673,    84.96913,   168.50000,   258.47000
   3,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70999,   253.95961,   184.33751,   233.99721,   159.00000,   140.93507,   110.03861,    85.16876,   168.50000,   258.47000
   4,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70993,   253.96022,   184.33899,   233.99628,   159.00000,   140.93449,   110.14220,    85.08280,   168.50000,   258.47000
   5,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70995,   253.95973,   184.34047,   233.99535,   159.00000,   140.93797,   110.20906,    85.04821,   168.50000,   258.47000
   6,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70988,   253.96033,   184.34195,   233.99442,   159.00000,   140.93500,   110.16685,    85.05740,   168.50000,   258.47000
   7,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70981,   253.96094,   184.34343,   233.99348,   158.99802,   140.93365,   110.33700,    84.89912,   168.50000,   258.47000
   8,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70975,   253.96155,   184.34491,   233.99255,   159.00000,   140.93326,   110.22210,    84.90766,   168.50000,   258.47000
   9,   1,   1,   299.10394,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70967,   253.96216,   184.34210,   233.99162,   158.90115,   140.94580,   110.29863,    84.88564,   168.50000,   258.47000
  10,   1,   1,   299.10001,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70970,   253.96165,   184.34195,   233.99069,   158.92189,   140.95587,   110.33700,    84.78780,   168.50000,   258.47000
  11,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70973,   253.96117,   184.34343,   233.98976,   158.94221,   140.95673,   110.30276,    84.85114,   168.50000,   258.47000
  12,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70966,   253.96178,   184.34456,   233.98883,   158.94110,   140.95189,   110.14614,    85.05770,   168.50000,   258.47000
  13,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70969,   253.96127,   184.34604,   233.98790,   158.96114,   140.96158,   110.12135,    85.13304,   168.50000,   258.47000
  14,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70963,   253.96188,   184.34729,   233.98697,   158.98067,   140.95618,   110.02061,    85.13312,   168.50000,   258.47000
