Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
  22,   1,   1,  633.40    ,  632.52    ,  633.11    ,  635.17    ,  632.74    ,  633.96    ,  943.00    ,  710.28    ,  941.62    ,  996.00    ,  3540.3    ,  2500.0    ,  2500.0    ,  4326.4    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  23,   1,   1,  632.30    ,  633.18    ,  632.96    ,  631.42    ,  634.40    ,  631.80    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1770.1    ,  1065.8    ,  2500.0    ,  792.36    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  24,   1,   1,  631.20    ,  630.97    ,  629.21    ,  631.19    ,  630.20    ,  630.36    ,  943.00    ,  0.0000    ,  636.00    ,  465.60    ,  1150.4    ,  1750.0    ,  2500.0    ,  2500.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  25,   1,   1,  632.30    ,  632.53    ,  632.81    ,  632.30    ,  632.85    ,  634.68    ,  943.00    ,  710.34    ,  859.73    ,  996.00    ,  2092.5    ,  3203.2    ,  421.56    ,  789.84    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  26,   1,   1,  632.30    ,  631.19    ,  633.41    ,  632.81    ,  632.56    ,  632.30    ,  943.00    ,  710.30    ,  1749.3    ,  996.00    ,  1687.1    ,  2500.0    ,  1166.6    ,  790.26    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  27,   1,   1,  632.30    ,  632.30    ,  631.19    ,  632.30    ,  631.45    ,  630.42    ,  943.00    ,  710.25    ,  636.00    ,  996.00    ,  1687.1    ,  1370.7    ,  1000.0    ,  789.59    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  28,   1,   1,  632.30    ,  633.41    ,  633.41    ,  632.30    ,  633.41    ,  633.81    ,  943.00    ,  0.0000    ,  660.87    ,  996.00    ,  1687.1    ,  1669.6    ,  1750.0    ,  828.92    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  29,   1,   1,  632.30    ,  631.19    ,  631.19    ,  631.79    ,  630.94    ,  630.90    ,  943.00    ,  0.0000    ,  1479.0    ,  996.00    ,  1687.1    ,  998.00    ,  916.32    ,  1877.9    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  30,   1,   1,  632.30    ,  632.30    ,  631.79    ,  632.81    ,  632.30    ,  632.43    ,  943.00    ,  710.32    ,  730.28    ,  996.00    ,  2298.6    ,  1000.0    ,  1000.0    ,  789.26    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  31,   1,   1,  632.30    ,  633.41    ,  633.92    ,  633.41    ,  634.22    ,  633.28    ,  943.00    ,  710.27    ,  1216.3    ,  996.00    ,  3097.7    ,  1386.9    ,  1079.0    ,  866.79    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  32,   1,   1,  632.30    ,  631.19    ,  631.20    ,  630.68    ,  630.94    ,  630.51    ,  943.00    ,  710.23    ,  636.00    ,  996.00    ,  1687.1    ,  2048.3    ,  1910.6    ,  1750.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  33,   1,   1,  632.30    ,  633.41    ,  633.99    ,  634.51    ,  633.70    ,  634.36    ,  943.00    ,  710.19    ,  1161.6    ,  996.00    ,  1687.1    ,  2498.0    ,  1750.0    ,  2304.9    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
