Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,    65.67662,    53.70678,    92.44015,    39.18933,    92.49647,    65.26270,    60.37086,   247.26637,    69.60831,   197.17523,   306.37982,   812.61597,   223.19771,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,    65.64944,    53.47456,    92.51491,    39.46336,    92.57667,    65.39003,    60.37086,     0.00000,   141.12210,   197.16678,   264.03009,   271.36050,   869.12634,   353.24680,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,    65.64944,    53.56799,    92.44025,    39.22131,    92.45325,    65.40359,    60.37086,   247.27023,   115.72284,   197.15833,   306.27975,   499.36768,   222.65733,   495.09711,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,    65.64944,    53.56799,    92.44015,    39.29437,    92.25565,    65.37498,    60.37086,     0.00000,    69.60831,   197.14987,   243.43504,   446.66678,   223.04550,   476.99835,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,    65.64944,    53.56800,    92.36530,    39.32635,    92.21767,    65.24577,    60.37086,   247.27411,    69.60831,   197.14142,   272.23703,   271.35571,   223.29610,   363.42499,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,    65.64944,    53.56797,    92.51491,    39.35814,    92.45304,    65.35957,    60.37086,     0.00000,    69.60831,   197.13295,   294.02072,   472.08313,   330.17627,   293.57202,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,    65.67662,    53.63257,    92.60172,    39.29455,    92.57667,    65.16208,    60.37086,     0.00000,    69.60831,   197.12450,   312.92365,   472.07892,    94.00000,   710.93304,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,    65.64944,    53.47463,    92.20383,    39.32635,    92.21788,    65.11827,    60.37086,     0.00000,    69.60831,   197.11604,   299.68109,   472.07770,   589.24158,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,    65.67662,    53.64790,    92.74360,    39.46336,    92.73688,    65.47344,    60.37086,     0.00000,   166.25513,   197.10759,   631.33423,   271.38000,   223.49983,   701.96820,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,    65.76072,    53.57304,    92.42154,    39.32635,    92.57607,    65.27610,    60.37086,   247.34021,   106.10970,   197.09914,   232.85368,   672.66724,   223.49983,   501.97290,     0.00000,     0.00000,     0.00000,     0.00000
  11,   1,   1,    65.56554,    53.59490,    92.11800,    39.18933,    92.09485,    65.21909,    60.37086,   247.32332,    69.60831,   197.09068,   234.92546,   310.61267,   555.02789,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  12,   1,   1,    65.64944,    53.41570,    92.77568,    39.42681,    92.53394,    65.57398,    60.37086,     0.00000,    77.50303,   197.08223,   307.32367,   472.13550,   554.92059,   246.83806,     0.00000,     0.00000,     0.00000,     0.00000
  13,   1,   1,    65.64944,    53.58328,    92.71151,    39.32648,    92.37269,    65.11834,    60.37086,   247.32718,    69.60831,   197.07376,   236.42029,   209.11760,   389.02869,   494.94519,     0.00000,     0.00000,     0.00000,     0.00000
  14,   1,   1,    65.67662,    53.63268,    92.11800,    39.32635,    92.57682,    65.33114,    60.37086,     0.00000,    74.92743,   197.06531,   239.07213,   462.01434,   388.65118,   494.94553,     0.00000,     0.00000,     0.00000,     0.00000
  15,   1,   1,    65.64944,    53.47458,    92.44015,    39.22575,    92.13743,    65.20200,    60.37086,   196.19656,    69.60831,   197.05685,   240.03038,    95.00460,   553.94470,   495.02585,     0.00000,     0.00000,     0.00000,     0.00000
  16,   1,   1,    65.67662,    53.63259,    92.51491,    39.32635,    92.29823,    65.44498,    60.37086,   247.32175,   122.34307,   197.04840,   357.82285,   326.90103,    94.00000,   495.20444,     0.00000,     0.00000,     0.00000,     0.00000
  17,   1,   1,    65.64944,    53.47459,    92.36539,    39.32635,    92.41586,    65.13372,    60.37086,     0.00000,    83.45255,   197.03995,   251.60165,   540.98767,   553.45081,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
  18,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.41586,    65.14871,    60.37086,     0.00000,   102.89781,   197.03149,   305.30438,   511.27655,   553.20612,   527.06885,     0.00000,     0.00000,     0.00000,     0.00000
  19,   1,   1,    65.67662,    53.63255,    92.67637,    39.46336,    92.73688,    65.36142,    60.37086,   247.34634,   115.72284,   197.02304,   499.07199,  1078.41809,   680.20551,   735.89734,     0.00000,     0.00000,     0.00000,     0.00000
  20,   1,   1,    65.64944,    53.47463,    92.20393,    39.32635,    92.57607,    65.28930,    60.37086,   247.32945,   152.44719,   197.01459,   384.60220,  1075.98181,   640.03308,   853.98639,     0.00000,     0.00000,     0.00000,     0.00000
