Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
  29,   1,   1,    65.64944,    53.47461,    92.27890,    39.29451,    92.21783,    65.14475,     0.00000,   143.57706,   197.14142,   306.11978,   270.82413,     0.00000,   205.00587,     0.00000,   530.88770,     0.00000
  30,   1,   1,    65.64944,    53.56800,    92.36508,    39.35814,    92.41582,    65.30253,   247.31114,    77.88055,   197.13295,   396.43222,   271.38913,     0.00000,   223.49983,     0.00000,   230.00000,     0.00000
  31,   1,   1,    65.67662,    53.63255,    92.67637,    39.39506,    92.69419,    65.38998,   247.29425,   120.52534,   197.12450,   513.75580,   374.96860,     0.00000,   240.95395,     0.00000,   251.34361,     0.00000
  32,   1,   1,    65.64944,    53.47461,    92.27900,    39.22584,    92.21788,    65.10511,   247.27737,    69.60831,   197.11604,   305.02448,   551.94550,     0.00000,   424.75723,     0.00000,   495.30072,     0.00000
  33,   1,   1,    65.67662,    53.64790,    92.66855,    39.46336,    92.61935,    65.50195,   247.26048,   115.72284,   197.10759,   305.35867,   672.14691,     0.00000,   389.26385,     0.00000,   649.02051,     0.00000
  34,   1,   1,    65.67662,    53.53921,    92.38670,    39.32635,    92.57607,    65.31782,   247.24361,   136.41206,   197.09914,   254.48911,   672.65045,     0.00000,   555.02789,     0.00000,   512.47821,     0.00000
  35,   1,   1,    65.67662,    53.55449,    92.63541,    39.18933,    92.09485,    65.17738,   247.22673,    76.89386,   197.09068,   305.55151,   271.40912,     0.00000,   530.61127,     0.00000,   661.39246,     0.00000
  36,   1,   1,    65.64944,    53.48988,    92.22782,    39.47701,    92.43182,    65.53226,   247.20985,   115.72284,   197.08223,   314.83820,   434.12576,     0.00000,   482.96051,     0.00000,   495.50797,     0.00000
  37,   1,   1,    65.67662,    53.64790,    92.45483,    39.44971,    92.89709,    65.23222,   247.19299,   103.02696,   197.07376,   318.19931,   491.93301,     0.00000,    94.00000,     0.00000,   495.54666,     0.00000
  38,   1,   1,    65.64944,    53.47465,    92.11800,    39.18933,    92.23910,    65.06715,   188.39352,    69.60831,   197.06531,   241.30003,   472.14383,     0.00000,   555.02789,     0.00000,   230.00000,     0.00000
  39,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.25565,    65.46577,   247.16798,   157.66948,   197.05685,   305.31195,   193.47090,     0.00000,   223.49983,     0.00000,   620.58087,     0.00000
  40,   1,   1,    65.64944,    53.56793,    92.67637,    39.35814,    92.45304,    65.39736,   247.15112,    69.60831,   197.04840,   338.58099,   525.45477,     0.00000,   416.71774,     0.00000,   495.26315,     0.00000
  41,   1,   1,    65.64944,    53.56804,    92.20393,    39.29455,    92.41586,    65.16969,   247.13426,    81.41564,   197.03995,   373.02237,   672.65881,     0.00000,   223.49983,     0.00000,   495.23645,     0.00000
  42,   1,   1,    65.64944,    53.56799,    92.44015,    39.32635,    92.37868,    65.24563,     0.00000,   102.89781,   197.03149,   308.13458,  1077.03223,     0.00000,   679.85114,     0.00000,   230.00000,     0.00000
  43,   1,   1,    65.67662,    53.63255,    92.67637,    39.42681,    92.69415,    65.41637,   362.00323,   154.55182,   197.02304,   385.29938,  1072.47009,     0.00000,   868.69183,     0.00000,  1000.05212,     0.00000
  44,   1,   1,    65.64944,    53.47463,    92.20393,    39.22588,    92.41586,    65.16222,   280.83591,   115.72284,   197.01459,   342.47906,   914.98492,     0.00000,   863.85388,     0.00000,  1005.09412,     0.00000
  45,   1,   1,    65.67662,    53.63255,    92.67637,    39.42681,    92.25506,    65.37487,   361.98691,   208.25290,   197.00612,   451.75552,   937.05811,     0.00000,   805.27661,     0.00000,  1128.42944,     0.00000
  46,   1,   1,    65.67662,    53.55449,    92.50745,    39.37654,    92.75284,    65.50195,   406.38504,   168.11058,   196.99767,   547.08606,   774.67590,     0.00000,   728.62952,     0.00000,  1267.05933,     0.00000
  47,   1,   1,    65.67662,    53.53922,    92.35464,    39.36730,    92.52244,    65.23222,     0.00000,    69.60831,   196.98921,   396.31216,   671.90057,     0.00000,   555.02789,     0.00000,   559.37292,     0.00000
  48,   1,   1,    65.67662,    53.53925,    92.20351,    39.13474,    92.07889,    65.23795,     0.00000,    69.60831,   196.98076,   252.37354,   672.42084,     0.00000,   555.02789,     0.00000,   703.64429,     0.00000
  49,   1,   1,    65.73354,    53.49306,    92.67637,    39.35814,    92.38979,    65.56061,     0.00000,    69.60831,   196.97231,   321.81268,  1061.80713,     0.00000,   749.75525,     0.00000,   767.79510,     0.00000
  50,   1,   1,    65.56554,    53.68829,    92.20393,    39.39506,    92.37258,    65.09364,     0.00000,    69.60831,   196.96385,   387.53891,   580.67255,     0.00000,   711.12994,     0.00000,   923.93994,     0.00000
  51,   1,   1,    65.64944,    53.40039,    92.51491,    39.25777,    92.57682,    65.27431,     0.00000,    69.60831,   196.95540,   310.84412,   672.30621,     0.00000,   639.43707,     0.00000,   980.31287,     0.00000
  52,   1,   1,    65.67662,    53.63260,    92.44025,    39.39493,    92.25506,    65.15080,     0.00000,    69.60831,   196.94693,   317.15506,   672.27808,     0.00000,   608.02399,     0.00000,   703.64429,     0.00000
  53,   1,   1,    65.64944,    53.47459,    92.36530,    39.25777,    92.57667,    65.44494,     0.00000,    69.60831,   196.93848,   402.46689,   793.72748,     0.00000,   389.26385,     0.00000,   715.43604,     0.00000
  54,   1,   1,    65.64944,    53.56799,    92.44015,    39.29442,    92.13754,    65.17548,     0.00000,   100.87743,   196.93002,   310.65427,   672.22784,     0.00000,   581.44849,     0.00000,   703.33740,     0.00000
  55,   1,   1,    65.64944,    53.56793,    92.67637,    39.42681,    92.65681,    65.40317,   247.15707,   137.63029,   196.92157,   323.47849,   762.56903,     0.00000,   570.32928,     0.00000,   704.91437,     0.00000
  56,   1,   1,    65.67662,    53.63266,    92.20393,    39.25781,    92.29239,    65.24758,   247.14021,    69.60831,   196.91312,   367.68976,   672.16412,     0.00000,   624.78699,     0.00000,   771.25964,     0.00000
  57,   1,   1,    65.64944,    53.47452,    92.67637,    39.43143,    92.61940,    65.27602,   247.12335,   103.06927,   196.90466,   441.07263,   672.15234,     0.00000,   555.02789,     0.00000,   730.67981,     0.00000
  58,   1,   1,    65.73354,    53.60183,    92.50745,    39.30361,    92.51215,    65.21712,   247.10649,   101.28339,   196.89621,   470.57202,   672.15601,     0.00000,   555.02789,     0.00000,   703.40936,     0.00000
  59,   1,   1,    65.64964,    53.72207,    92.42154,    39.41733,    92.49567,    65.43159,     0.00000,   149.51457,   196.88774,   519.77026,   672.16766,     0.00000,   555.02789,     0.00000,   869.68390,     0.00000
  60,   1,   1,    65.60822,    53.54531,    92.42154,    39.24394,    92.42589,    65.39572,     0.00000,   192.00266,   196.87929,   462.11450,   721.75940,     0.00000,   555.02789,     0.00000,   832.03387,     0.00000
  61,   1,   1,    65.59335,    53.42857,    92.15010,    39.34051,    92.17525,    65.23793,   201.16084,    69.60831,   196.87083,   253.95567,   471.68463,     0.00000,   555.02789,     0.00000,   702.84283,     0.00000
  62,   1,   1,    65.67662,    53.61045,    92.83986,    39.18933,    92.43301,    65.43506,     0.00000,    69.60831,   196.86238,   266.02829,   672.16254,     0.00000,   555.02789,     0.00000,   702.84314,     0.00000
  63,   1,   1,    65.64944,    53.47468,    91.98962,    39.32635,    92.09485,    65.09357,   196.87094,    69.60831,   196.85393,   258.90186,   471.62994,     0.00000,   555.02789,     0.00000,   702.84344,     0.00000
  64,   1,   1,    65.67662,    53.64790,    92.74360,    39.42681,    92.69415,    65.32385,   247.13245,   100.33421,   196.84547,   371.75107,   270.91058,     0.00000,   554.85150,     0.00000,   702.84375,     0.00000
