Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      
   1,   1,   1,   299.10394,   284.62000,   274.17001,   254.81000,   247.49001,   229.21001,   216.70993,   253.96060,   184.33348,   233.99481,   158.96040,   140.93254,   110.17258,    84.96622,   168.50000,   258.47000
   2,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70987,   253.96121,   184.33496,   233.99388,   158.97572,   140.93246,   110.15370,    85.02344,   168.50000,   258.47000
   3,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70990,   253.96059,   184.33621,   233.99367,   158.96729,   140.93340,   110.13483,    85.21920,   168.50000,   258.47000
   4,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70984,   253.96120,   184.33769,   233.99274,   158.95750,   140.93625,   110.20929,    85.27989,   168.50000,   258.47000
   5,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70976,   253.96181,   184.33917,   233.99181,   158.97676,   140.93907,   110.26226,    85.23737,   168.50000,   258.47000
   6,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70978,   253.96149,   184.34065,   233.99899,   158.96690,   140.94194,   110.33700,    85.20746,   168.50000,   258.47000
   7,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70970,   253.96210,   184.34213,   233.99380,   158.98024,   140.94502,   110.33700,    85.14877,   168.50000,   258.47000
   8,   1,   1,   299.10001,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70964,   253.96271,   184.34361,   234.00000,   158.98103,   140.94835,   110.14639,    85.21298,   168.50000,   258.47000
   9,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70967,   253.96207,   184.34509,   233.99907,   159.00000,   140.94899,   110.22088,    85.25485,   168.50000,   258.47000
  10,   1,   1,   299.10001,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70979,   253.96062,   184.34581,   233.99837,   158.98039,   140.96144,   110.19686,    85.22417,   168.50000,   258.47000
