!Stage,Scenario,Best Integer Solution Found (k$),Best Bound (k$),Relative Gap (%),Time (s),MIP Threads,Heur. Method
1,1,-246338,-246314,   0.00985,666.97,8,1
1,1,-246632,-246589,   0.01716,617.85,8,1
1,1,-246806,-246669,   0.05552,575.554,8,1
1,1,-246973,-246819,   0.06244,357.947,8,1
1,1,-247168,-247020,   0.06000,722.844,8,1
1,1,-247633,-247447,   0.07519,382.51,8,1
1,1,-248466,-247648,   0.32910,152.146,8,1
1,1,-248870,-248486,   0.15432,364.891,8,1
1,1,-249041,-248935,   0.04230,326.968,8,1
1,1,-249382,-249358,   0.00964,791.465,8,1
1,1,-249474,-249437,   0.01488,524.584,8,1
1,1,-249603,-249531,   0.02872,720.934,8,1
1,1,-250041,-249695,   0.13839,532.239,8,1
1,1,-250981,-250797,   0.07359,852.542,8,1
1,1,-251688,-251232,   0.18109,338.613,8,1
1,1,-252640,-252506,   0.05303,405.113,8,1
1,1,-253859,-253523,   0.13262,540.575,8,1
1,1,-254009,-253987,   0.00859,480.903,8,1
1,1,-254988,-254941,   0.01851,403.294,8,1
1,1,-255230,-255129,   0.03971,316.747,8,1
1,1,-255455,-255352,   0.04049,359.586,8,1
1,1,-255641,-255567,   0.02891,480.607,8,1
1,1,-256212,-256008,   0.07944,299.424,8,1
1,1,-256817,-256244,   0.22288,186.106,8,1
1,1,-257124,-257086,   0.01492,502.594,8,1
1,1,-257474,-257405,   0.02694,166.296,8,1
1,1,-257586,-257567,   0.00767,260.64,8,1
1,1,-257888,-257613,   0.10650,88.019,8,1
1,1,-258087,-257994,   0.03585,218.308,8,1
1,1,-258186,-258154,   0.01234,466.301,8,1
1,1,-260266,-260243,   0.00905,321.542,8,1
1,1,-260266,-260266,   0.00000,29.895,8,1
1,1,-257459,-256615,   0.32775,1587.87,8,1
1,1,-257459,-256615,   0.32775,0.0149999,8,1
