Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,    65.64944,    53.64220,    92.24638,    39.17569,    92.48051,    65.28923,    83.99753,    69.60831,   197.17523,   242.54077,   672.59100,     0.00000,   389.08340,     0.00000,   230.00000,     0.00000
   2,   1,   1,    65.64944,    53.56802,    92.31177,    39.30361,    92.21311,    65.08994,    83.99801,    69.60831,   197.16678,   154.05652,   472.05148,     0.00000,   389.26385,     0.00000,   230.00000,     0.00000
   3,   1,   1,    65.64944,    53.56793,    92.67637,    39.43149,    92.67303,    65.48319,   247.28105,    89.64999,   197.15833,   244.26909,   271.31259,     0.00000,   276.65771,     0.00000,   230.00000,     0.00000
   4,   1,   1,    65.64944,    53.56800,    92.39771,    39.18933,    92.21780,    65.12640,     0.00000,    69.60831,   187.96490,   231.37766,   271.32172,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
   5,   1,   1,    65.64944,    53.58328,    92.67823,    39.42681,    92.53394,    65.42249,     0.00000,    93.77977,   197.15923,   242.07785,    94.91314,     0.00000,   223.49983,     0.00000,   230.00000,     0.00000
   6,   1,   1,    65.64944,    53.56809,    91.98962,    39.22588,    92.25506,    65.19640,     0.00000,    69.60831,   197.15076,   234.42494,   271.36176,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
   7,   1,   1,    65.64944,    53.58328,    92.58197,    39.42681,    92.57667,    65.37478,   247.32642,    69.60831,   197.14230,   238.71211,    94.95349,     0.00000,   172.79439,     0.00000,   286.98453,     0.00000
   8,   1,   1,    65.73354,    53.58657,    92.27968,    39.22588,    92.25506,    65.16026,     0.00000,    69.60831,   171.39507,   238.29361,   472.11191,     0.00000,   140.66203,     0.00000,   230.00000,     0.00000
   9,   1,   1,    65.64964,    53.70677,    92.47224,    39.42681,    92.57667,    65.28930,     0.00000,   186.70753,   197.17523,   239.67145,   185.27338,     0.00000,   593.84247,     0.00000,   286.97690,     0.00000
  10,   1,   1,    65.64964,    53.53913,    92.73020,    39.32648,    92.37269,    65.40317,   290.89700,    69.60831,   197.16678,   348.64069,   321.43030,     0.00000,   223.12900,     0.00000,   230.00000,     0.00000
  11,   1,   1,    65.64964,    53.55449,    92.38825,    39.36276,    92.61940,    65.28930,   247.32597,    69.60831,   197.15833,   328.31717,    95.02035,     0.00000,   140.43886,     0.00000,   230.00000,     0.00000
  12,   1,   1,    65.56554,    53.52068,    92.34506,    39.18933,    92.13743,    65.33105,   226.33904,    72.41779,   179.68265,   236.51141,   271.48590,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
  13,   1,   1,    65.64944,    53.40038,    92.56853,    39.32635,    92.25565,    65.23234,   180.66254,   102.89781,   192.80843,   238.31592,   271.49429,     0.00000,    94.00000,     0.00000,   230.00000,     0.00000
  14,   1,   1,    65.67662,    53.63259,    92.51491,    39.39511,    92.65707,    65.37659,     0.00000,   102.89781,   197.17523,   304.40259,   260.08691,     0.00000,   223.49983,     0.00000,   230.00000,     0.00000
