Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  632.30    ,  633.18    ,  630.97    ,  629.87    ,  632.75    ,  632.30    ,  943.00    ,  253.00    ,  636.00    ,  996.00    ,  1260.8    ,  2500.0    ,  1750.0    ,  794.98    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   2,   1,   1,  632.30    ,  632.30    ,  631.42    ,  631.93    ,  630.90    ,  630.36    ,  943.00    ,  253.00    ,  636.00    ,  996.00    ,  849.92    ,  1750.0    ,  1750.0    ,  793.12    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   3,   1,   1,  632.30    ,  632.30    ,  633.92    ,  633.99    ,  634.07    ,  634.18    ,  943.00    ,  710.24    ,  864.41    ,  996.00    ,  1268.6    ,  1000.0    ,  1240.5    ,  791.45    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   4,   1,   1,  632.30    ,  632.30    ,  632.01    ,  630.09    ,  630.93    ,  630.72    ,  943.00    ,  0.0000    ,  636.00    ,  949.46    ,  1209.0    ,  1000.0    ,  414.14    ,  790.90    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   5,   1,   1,  632.30    ,  632.30    ,  634.06    ,  633.92    ,  633.11    ,  633.59    ,  943.00    ,  0.0000    ,  911.48    ,  996.00    ,  1258.9    ,  342.00    ,  1000.0    ,  791.40    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   6,   1,   1,  632.30    ,  632.30    ,  629.21    ,  630.68    ,  631.19    ,  631.40    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1223.7    ,  1000.0    ,  414.29    ,  791.22    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   7,   1,   1,  632.30    ,  632.30    ,  633.40    ,  633.92    ,  633.41    ,  633.13    ,  943.00    ,  710.36    ,  636.00    ,  996.00    ,  1244.0    ,  342.00    ,  770.58    ,  1000.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   8,   1,   1,  633.40    ,  632.52    ,  631.20    ,  630.68    ,  631.19    ,  631.05    ,  943.00    ,  0.0000    ,  636.00    ,  865.74    ,  1242.2    ,  1750.0    ,  625.20    ,  792.32    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   9,   1,   1,  632.30    ,  634.29    ,  632.52    ,  633.92    ,  633.41    ,  632.30    ,  943.00    ,  0.0000    ,  1970.6    ,  996.00    ,  1248.3    ,  678.82    ,  2675.6    ,  1000.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  10,   1,   1,  632.30    ,  632.30    ,  634.29    ,  632.30    ,  632.00    ,  633.41    ,  943.00    ,  864.42    ,  636.00    ,  996.00    ,  1984.8    ,  1186.9    ,  1000.0    ,  789.23    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
