Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,   632.29999,   633.18011,   630.97162,   629.87152,   632.74554,   632.29932,   253.00000,   636.00000,   996.00000,  1260.84863,  2500.00000,     0.00000,  1750.00000,     0.00000,   794.98163,     0.00000
   2,   1,   1,   632.29999,   632.29999,   631.41992,   631.93353,   630.90253,   630.36450,   253.00000,   636.00000,   996.00000,   849.91571,  1750.00000,     0.00000,  1750.00000,     0.00000,   793.11993,     0.00000
   3,   1,   1,   632.29999,   632.29999,   633.91937,   633.99481,   634.07251,   634.18256,   710.23987,   864.41479,   996.00000,  1268.57312,  1000.00000,     0.00000,  1240.51306,     0.00000,   791.45312,     0.00000
   4,   1,   1,   632.29999,   632.29999,   632.00897,   630.09155,   630.93488,   630.71844,     0.00000,   636.00000,   949.46167,  1209.01917,  1000.00000,     0.00000,   414.14484,     0.00000,   790.89911,     0.00000
   5,   1,   1,   632.29999,   632.29999,   634.06018,   633.91937,   633.11377,   633.59314,     0.00000,   911.48175,   996.00000,  1258.89941,   342.00000,     0.00000,  1000.00000,     0.00000,   791.40363,     0.00000
   6,   1,   1,   632.29999,   632.29999,   629.21149,   630.68066,   631.19165,   631.39807,     0.00000,   636.00000,   996.00000,  1223.66882,  1000.00000,     0.00000,   414.29355,     0.00000,   791.22430,     0.00000
   7,   1,   1,   632.29999,   632.29999,   633.40009,   633.91937,   633.40833,   633.12994,   710.35876,   636.00000,   996.00000,  1244.04065,   342.00000,     0.00000,   770.58295,     0.00000,  1000.00000,     0.00000
   8,   1,   1,   633.40009,   632.52002,   631.19989,   630.68066,   631.19165,   631.04712,     0.00000,   636.00000,   865.73834,  1242.19312,  1750.00000,     0.00000,   625.20001,     0.00000,   792.32104,     0.00000
   9,   1,   1,   632.29999,   634.28839,   632.52002,   633.91937,   633.40833,   632.29999,     0.00000,  1970.57837,   996.00000,  1248.27588,   678.82367,     0.00000,  2675.61670,     0.00000,  1000.00000,     0.00000
  10,   1,   1,   632.29999,   632.29999,   634.28839,   632.30212,   632.00238,   633.40564,   864.42102,   636.00000,   996.00000,  1984.83679,  1186.91492,     0.00000,  1000.00000,     0.00000,   789.23389,     0.00000
  11,   1,   1,   632.29999,   632.29999,   632.07178,   632.88696,   633.70288,   632.29999,   710.35760,   636.00000,   996.00000,  1854.05408,   342.00000,     0.00000,   625.81683,     0.00000,   788.96790,     0.00000
  12,   1,   1,   631.19989,   632.07996,   631.64813,   630.09155,   630.38092,   632.70538,   651.51764,   668.01959,   907.59998,  1234.32532,  1000.00000,     0.00000,   416.02383,     0.00000,   789.36633,     0.00000
  13,   1,   1,   632.29999,   630.31158,   633.18011,   632.29999,   631.19580,   631.74701,   523.54956,  1015.40002,   973.90002,  1242.29163,  1000.00000,     0.00000,   414.76074,     0.00000,   790.09296,     0.00000
  14,   1,   1,   632.29999,   633.40833,   632.81250,   633.40833,   633.96252,   633.14752,     0.00000,  1015.40002,   996.00000,  1687.09998,   957.40869,     0.00000,  1000.00000,     0.00000,   790.59497,     0.00000
  15,   1,   1,   632.29999,   631.19165,   631.78754,   631.41168,   631.30170,   629.68274,     0.00000,  1015.40002,   996.00000,  1687.09998,   965.71893,     0.00000,   996.85980,     0.00000,   790.18707,     0.00000
  16,   1,   1,   632.29999,   632.29999,   632.29999,   635.38855,   633.40009,   633.68475,     0.00000,  1144.62903,   996.00000,  1687.09998,   915.41986,     0.00000,  1000.00000,     0.00000,   789.78204,     0.00000
  17,   1,   1,   632.29999,   632.29999,   632.29999,   632.07996,   634.84259,   632.63208,     0.00000,   886.17090,   996.00000,  1889.03223,   895.10156,     0.00000,  1000.00000,     0.00000,   789.37134,     0.00000
  18,   1,   1,   632.29999,   632.29999,   632.29999,   629.21149,   629.53741,   631.24530,     0.00000,  1015.40002,   922.95856,  1485.16772,  2627.24902,     0.00000,   892.93890,     0.00000,   789.00159,     0.00000
  19,   1,   1,   632.29999,   633.40833,   632.29999,   632.81250,   632.12030,   635.22699,   878.71515,  2218.32544,   996.00000,  3300.20239,  4044.54248,     0.00000,  4042.79028,     0.00000,  2923.94556,     0.00000
  20,   1,   1,   633.40009,   631.41168,   632.52002,   632.30066,   632.55658,   631.08435,   798.37347,  2214.73242,   996.00000,  3299.10205,  3525.99829,     0.00000,  3412.23682,     0.00000,  4015.72363,     0.00000
  21,   1,   1,   631.19989,   634.06842,   635.38855,   633.62659,   632.96362,   630.82886,   875.84674,  2211.15015,   996.00000,  3298.00293,  2500.00000,     0.00000,  4028.04565,     0.00000,  4430.15771,     0.00000
  22,   1,   1,   632.29999,   630.31158,   632.29999,   633.76880,   633.69769,   633.44403,  1169.41467,   915.90698,   996.00000,  3244.76074,  2789.95728,     0.00000,  3914.20483,     0.00000,  4399.22803,     0.00000
  23,   1,   1,   632.29999,   632.29999,   632.29999,   630.09155,   631.93018,   632.76013,     0.00000,   636.00000,   996.00000,  2421.81226,   779.11237,     0.00000,  1000.00000,     0.00000,  1000.00000,     0.00000
  24,   1,   1,   632.29999,   632.29999,   632.07996,   634.50842,   632.29999,   633.33069,     0.00000,   636.00000,   996.00000,  1311.21997,  2724.23950,     0.00000,   415.19150,     0.00000,   789.70251,     0.00000
  25,   1,   1,   632.29999,   632.29999,   629.21149,   630.97162,   631.63171,   631.70831,   710.34015,   636.00000,   996.00000,  1328.26770,   428.09946,     0.00000,  1750.00000,     0.00000,  1000.00000,     0.00000
  26,   1,   1,   632.29999,   633.40833,   634.50842,   631.41992,   632.30414,   633.22070,   798.37347,   636.00000,   996.00000,  1512.38025,   843.55286,     0.00000,  1000.00000,     0.00000,  1000.00000,     0.00000
  27,   1,   1,   633.40009,   631.41168,   630.09155,   633.91937,   631.56128,   630.86023,   462.68918,   636.00000,   996.00000,  1210.80603,   342.00000,     0.00000,   414.07956,     0.00000,   788.96790,     0.00000
  28,   1,   1,   632.29999,   634.28839,   632.29999,   632.00897,   634.07251,   631.96790,     0.00000,   636.00000,   996.00000,  1306.82764,   721.35175,     0.00000,   637.84052,     0.00000,   789.60992,     0.00000
  29,   1,   1,   631.19989,   632.07996,   632.29999,   634.06018,   631.92627,   631.93268,     0.00000,   636.00000,   996.00000,  1590.30273,   682.95367,     0.00000,   496.90198,     0.00000,   789.95929,     0.00000
  30,   1,   1,   632.29999,   630.31158,   632.29999,   629.21149,   632.74414,   632.81689,     0.00000,   686.50690,   996.00000,  1204.94409,   633.33411,     0.00000,   798.19580,     0.00000,   790.41168,     0.00000
  31,   1,   1,   632.29999,   633.40833,   634.50842,   633.40009,   631.30579,   634.10498,     0.00000,   636.00000,   996.00000,  2866.90430,   579.31647,     0.00000,   500.56451,     0.00000,  1453.44214,     0.00000
  32,   1,   1,   632.29999,   631.19165,   630.82666,   631.19989,   631.19165,   631.22961,   710.44702,  1642.66223,   996.00000,  1171.02332,   462.99478,     0.00000,  2718.37817,     0.00000,   791.50238,     0.00000
  33,   1,   1,   633.40009,   633.62836,   634.65344,   632.52002,   632.96826,   633.13055,     0.00000,   636.00000,   996.00000,  1231.87866,  3596.62842,     0.00000,   724.15552,     0.00000,  1750.00000,     0.00000
  34,   1,   1,   632.29999,   633.18011,   629.21149,   634.28839,   632.29590,   630.14313,   253.00000,   636.00000,   996.00000,  1211.29089,  2796.43335,     0.00000,  2500.00000,     0.00000,   789.82977,     0.00000
  35,   1,   1,   632.29999,   632.29999,   632.29999,   632.07178,   633.18011,   632.07996,     0.00000,  1012.51587,   996.00000,  1665.00000,  1006.33130,     0.00000,  1750.00000,     0.00000,  1907.34509,     0.00000
  36,   1,   1,   631.19989,   632.07996,   632.29999,   631.64813,   632.96826,   632.63208,   710.53070,  1015.40002,   996.00000,  1665.00000,   635.57642,     0.00000,  1183.02454,     0.00000,  1779.25745,     0.00000
  37,   1,   1,   632.29999,   630.31158,   632.29999,   633.18011,   631.30579,   632.73798,   710.48645,  1015.40002,   996.00000,  1665.00000,   574.07678,     0.00000,   624.87646,     0.00000,   929.94238,     0.00000
  38,   1,   1,   632.29999,   632.29999,   634.50842,   632.81250,   634.10461,   634.17981,     0.00000,  2253.16870,  1098.58398,  2007.00562,   504.82797,     0.00000,  1000.00000,     0.00000,  1000.00000,     0.00000
  39,   1,   1,   633.40009,   632.52002,   630.31158,   631.78754,   631.19165,   632.13702,   847.86469,   636.00000,  1099.02881,  1322.99438,   423.28723,     0.00000,  1000.00000,     0.00000,   902.66840,     0.00000
  40,   1,   1,   632.29999,   634.28839,   635.38855,   632.29999,   632.04376,   632.70520,   894.64825,   915.83124,  1099.47534,  3810.43750,   342.00000,     0.00000,   851.48529,     0.00000,  1000.00000,     0.00000
  41,   1,   1,   631.19989,   632.07996,   632.07996,   632.29999,   632.29999,   632.64813,     0.00000,   636.00000,   996.00000,   615.56256,  4132.79248,     0.00000,   415.57919,     0.00000,   789.46417,     0.00000
  42,   1,   1,   632.29999,   630.31158,   629.21149,   632.29999,   632.29999,   630.51208,     0.00000,   636.00000,   719.17450,   569.00000,  4722.84766,     0.00000,  3555.67407,     0.00000,   788.96790,     0.00000
  43,   1,   1,   632.29999,   633.40833,   634.50842,   632.29999,   633.40833,   633.27747,  1437.07227,  2253.16870,  1112.29944,  3403.57300,  4807.10107,     0.00000,  4741.29834,     0.00000,  4303.72070,     0.00000
  44,   1,   1,   632.29999,   631.19165,   630.09155,   632.52002,   631.30170,   631.19440,  1437.07227,  2252.06494,  1100.18555,  3402.90967,  4835.93359,     0.00000,  4741.29834,     0.00000,  4331.72461,     0.00000
  45,   1,   1,   633.40009,   632.52002,   634.13910,   636.49963,   635.61816,   632.85419,  1437.07227,  2296.08740,  1100.63611,  3982.80005,  4814.37842,     0.00000,  4741.29834,     0.00000,  5142.49072,     0.00000
  46,   1,   1,   632.29999,   634.28839,   633.76947,   632.29999,   634.39984,   633.46063,  1437.07227,  2296.02246,  1101.08838,  3982.80005,  4816.40674,     0.00000,  4741.29834,     0.00000,  5142.49072,     0.00000
  47,   1,   1,   631.19989,   632.07996,   632.29999,   631.18890,   631.74445,   633.45990,     0.00000,   839.20135,   996.00000,  2004.99951,   918.07697,     0.00000,  4095.52246,     0.00000,  4589.97656,     0.00000
  48,   1,   1,   632.29999,   630.31158,   632.07996,   632.07996,   631.63446,   635.00897,     0.00000,   636.00000,   996.00000,  1218.44910,  2684.51416,     0.00000,  2500.00000,     0.00000,  3459.75781,     0.00000
  49,   1,   1,   632.29999,   633.40833,   629.21149,   629.21149,   630.64575,   633.07214,   710.00031,   636.00000,   996.00000,  1234.67883,  2500.00000,     0.00000,  2500.00000,     0.00000,  2667.00244,     0.00000
  50,   1,   1,   632.29999,   632.29999,   632.29999,   634.50842,   630.75165,   631.68945,     0.00000,   636.00000,   996.00000,  1311.55750,  2103.13281,     0.00000,  2500.00000,     0.00000,  2756.85303,     0.00000
  51,   1,   1,   632.29999,   631.19165,   632.52002,   630.09155,   632.29999,   631.14008,     0.00000,   636.00000,   996.00000,  1687.09998,  1972.17407,     0.00000,  2500.00000,     0.00000,  2682.42773,     0.00000
  52,   1,   1,   632.29999,   632.29999,   635.38855,   632.29999,   632.30414,   630.69867,     0.00000,   636.00000,   996.00000,  2097.84644,  1935.27954,     0.00000,   414.07956,     0.00000,  2958.94458,     0.00000
  53,   1,   1,   632.29999,   632.29999,   632.07996,   632.29999,   631.19165,   630.42023,   710.11920,   636.00000,   996.00000,  1276.35352,  1935.23706,     0.00000,  2500.00000,     0.00000,   791.88562,     0.00000
  54,   1,   1,   632.29999,   632.29999,   629.21149,   632.29999,   632.29999,   632.30206,   710.07501,   636.00000,   996.00000,  1687.09998,  1490.42065,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  55,   1,   1,   632.29999,   633.40833,   634.50842,   634.50842,   633.40424,   632.85352,     0.00000,   636.00000,  1005.08221,  1687.09998,  3194.89307,     0.00000,   617.65997,     0.00000,  3433.83423,     0.00000
  56,   1,   1,   632.29999,   632.29999,   630.09155,   630.82666,   633.77588,   631.74585,     0.00000,   636.00000,   996.00000,  1687.09998,  1750.00000,     0.00000,  3508.10449,     0.00000,  2535.40356,     0.00000
