Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  0.0000    ,  633.18    ,  630.97    ,  629.87    ,  632.75    ,  631.19    ,  885.30    ,  0.0000    ,  991.40    ,  962.80    ,  1034.6    ,  731.05    ,  1300.0    ,  730.16    ,  1034.6    ,  0.0000    ,  396.56    ,  396.56    
   2,   1,   1,  0.0000    ,  632.30    ,  631.42    ,  631.93    ,  630.90    ,  631.47    ,  883.36    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1178.7    ,  2350.0    ,  1750.0    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   3,   1,   1,  0.0000    ,  632.30    ,  633.41    ,  633.99    ,  632.96    ,  633.08    ,  1344.4    ,  0.0000    ,  991.40    ,  962.80    ,  1157.2    ,  933.65    ,  1600.0    ,  1648.1    ,  1157.2    ,  0.0000    ,  519.20    ,  519.20    
   4,   1,   1,  0.0000    ,  632.30    ,  632.52    ,  630.09    ,  632.04    ,  631.82    ,  630.72    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1256.7    ,  1000.0    ,  1075.2    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   5,   1,   1,  0.0000    ,  632.30    ,  632.96    ,  633.92    ,  632.01    ,  632.49    ,  633.59    ,  0.0000    ,  991.40    ,  962.80    ,  1218.9    ,  1219.0    ,  868.40    ,  531.32    ,  1218.9    ,  0.0000    ,  580.88    ,  580.88    
   6,   1,   1,  0.0000    ,  632.30    ,  630.31    ,  630.68    ,  632.30    ,  632.50    ,  631.40    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1251.9    ,  473.60    ,  882.86    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   7,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  633.92    ,  632.30    ,  632.02    ,  1343.5    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1227.7    ,  868.40    ,  485.55    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   8,   1,   1,  0.0000    ,  632.52    ,  632.30    ,  630.68    ,  632.30    ,  632.15    ,  631.05    ,  0.0000    ,  991.40    ,  962.80    ,  970.00    ,  1243.7    ,  623.60    ,  741.51    ,  970.00    ,  0.0000    ,  332.00    ,  332.00    
   9,   1,   1,  0.0000    ,  633.18    ,  632.52    ,  633.92    ,  632.30    ,  632.30    ,  632.30    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1243.4    ,  1535.8    ,  1035.3    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  10,   1,   1,  0.0000    ,  632.30    ,  634.29    ,  632.30    ,  633.11    ,  632.30    ,  1497.8    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1395.6    ,  780.44    ,  2340.5    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
