Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,    65.64944,    53.64220,    92.24638,    39.17569,    92.48051,    65.28923,    60.37086,    83.99753,    69.60831,   197.17523,   242.54077,   672.59100,   389.08340,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,    65.64944,    53.56802,    92.31177,    39.30361,    92.21311,    65.08994,    60.37086,    83.99801,    69.60831,   197.16678,   154.05652,   472.05148,   389.26385,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,    65.64944,    53.56793,    92.67637,    39.43149,    92.67303,    65.48319,    60.37086,   247.28105,    89.64999,   197.15833,   244.26909,   271.31259,   276.65771,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,    65.64944,    53.56800,    92.39771,    39.18933,    92.21780,    65.12640,    60.37086,     0.00000,    69.60831,   187.96490,   231.37766,   271.32172,    94.00000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,    65.64944,    53.58328,    92.67823,    39.42681,    92.53394,    65.42249,    60.37086,     0.00000,    93.77977,   197.15923,   242.07785,    94.91314,   223.49983,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,    65.64944,    53.56809,    91.98962,    39.22588,    92.25506,    65.19640,    60.37086,     0.00000,    69.60831,   197.15076,   234.42494,   271.36176,    94.00000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,    65.64944,    53.58328,    92.58197,    39.42681,    92.57667,    65.37478,    60.37086,   247.32642,    69.60831,   197.14230,   238.71211,    94.95349,   172.79439,   286.98453,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,    65.73354,    53.58657,    92.27968,    39.22588,    92.25506,    65.16026,    60.37086,     0.00000,    69.60831,   171.39507,   238.29361,   472.11191,   140.66203,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,    65.64964,    53.70677,    92.47224,    39.42681,    92.57667,    65.28930,    60.37086,     0.00000,   186.70753,   197.17523,   239.67145,   185.27338,   593.84247,   286.97690,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,    65.64964,    53.53913,    92.73020,    39.32648,    92.37269,    65.40317,    60.37086,   290.89700,    69.60831,   197.16678,   348.64069,   321.43030,   223.12900,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
