Varia por patamar?      ,    0,Unidade ,      m,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      
   1,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70998,   253.96021,   184.33978,   233.99907,   158.99234,   140.93130,   110.13595,    84.89194,   168.50000,   258.47000
   2,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70993,   253.96042,   184.34126,   233.99814,   159.00000,   140.92482,   110.21248,    85.01204,   168.50000,   258.47000
   3,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70996,   253.95993,   184.34186,   233.99721,   158.99742,   140.92407,   110.25841,    85.11957,   168.50000,   258.47000
   4,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70990,   253.96054,   184.34334,   233.99823,   158.98920,   140.92702,   110.33315,    85.15531,   168.50000,   258.47000
   5,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70982,   253.96114,   184.34373,   233.99731,   158.98978,   140.93703,   110.31660,    85.12276,   168.50000,   258.47000
   6,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70975,   253.96175,   184.34521,   233.99638,   158.98091,   140.93993,   110.32436,    85.13433,   168.50000,   258.47000
   7,   1,   1,   299.10394,   284.62396,   274.17001,   254.81400,   247.49001,   229.21001,   216.70978,   253.96126,   184.34669,   233.99545,   158.97113,   140.95003,   110.33700,    85.06988,   168.50000,   258.47000
   8,   1,   1,   299.10001,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70972,   253.96187,   184.34818,   234.00000,   158.96144,   140.94427,   110.33700,    85.06358,   168.50000,   258.47000
   9,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70964,   253.96246,   184.34445,   233.99907,   158.98085,   140.95073,   110.19220,    85.06808,   168.50000,   258.47000
  10,   1,   1,   299.10001,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70969,   253.96173,   184.34593,   233.99814,   158.96768,   140.95312,   110.16447,    85.26273,   168.50000,   258.47000
  11,   1,   1,   299.10001,   284.62000,   274.17001,   254.81400,   247.49001,   229.21001,   216.70972,   253.96124,   184.34741,   233.99721,   158.96030,   140.97157,   110.21456,    85.27989,   168.50000,   258.47000
  12,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70975,   253.96085,   184.34877,   234.00000,   158.98033,   140.97992,   110.22208,    85.25419,   168.50000,   258.47000
  13,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70975,   253.96063,   184.34877,   234.00000,   159.00000,   140.98262,   110.29674,    85.20731,   168.50000,   258.47000
  14,   1,   1,   299.10394,   284.62000,   274.17212,   254.81400,   247.49001,   229.21001,   216.70967,   253.96124,   184.34877,   233.99907,   159.00000,   140.98691,   110.29586,    85.17493,   168.50000,   258.47000
  15,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70961,   253.96185,   184.34877,   233.99814,   159.00000,   140.99475,   110.29213,    85.20124,   168.50000,   258.47000
  16,   1,   1,   299.10394,   284.62396,   274.17212,   254.81400,   247.49001,   229.21001,   216.70953,   253.96246,   184.34827,   233.99721,   159.00000,   141.00357,   110.29018,    85.22737,   168.50000,   258.47000
