Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,   632.29999,   633.18011,   633.40009,   630.60693,   633.96332,   631.21283,     0.00000,  2210.31348,   996.00000,  1384.71875,  2383.02979,     0.00000,  2500.00000,     0.00000,   791.28461,     0.00000
   2,   1,   1,   632.29999,   632.29999,   630.09155,   633.99304,   631.19165,   631.10419,     0.00000,  1467.37463,   996.00000,  1687.09998,  2230.24243,     0.00000,  2217.02100,     0.00000,  1252.52466,     0.00000
   3,   1,   1,   632.29999,   632.29999,   633.91937,   631.71381,   633.96179,   634.57141,     0.00000,   636.00000,   996.00000,  1662.66028,  2009.93262,     0.00000,  1750.00000,     0.00000,  2124.21680,     0.00000
   4,   1,   1,   632.29999,   632.29999,   632.88910,   630.67773,   631.19580,   632.57751,     0.00000,   636.00000,   996.00000,  1662.89563,   957.98883,     0.00000,  1000.00000,     0.00000,  2141.45728,     0.00000
   5,   1,   1,   632.29999,   632.29999,   630.09155,   632.29999,   630.38055,   631.47113,   760.44446,   636.00000,   996.00000,  1588.94080,  1371.11926,     0.00000,  1000.00000,     0.00000,   789.60931,     0.00000
   6,   1,   1,   632.29999,   632.29999,   632.81250,   632.29999,   632.29999,   632.57880,     0.00000,   959.88580,   996.00000,  1670.75757,  1750.00000,     0.00000,  1591.17249,     0.00000,   788.96790,     0.00000
   7,   1,   1,   632.29999,   632.29999,   632.30066,   632.81250,   633.66455,   631.89374,     0.00000,   636.00000,   996.00000,  1518.86536,  1750.00000,     0.00000,  1608.92297,     0.00000,  1688.90625,     0.00000
   8,   1,   1,   632.29999,   632.29999,   631.78687,   631.78754,   632.29999,   631.34027,     0.00000,   697.38599,   996.00000,  1684.87708,  1656.63306,     0.00000,  1750.00000,     0.00000,  1558.01587,     0.00000
   9,   1,   1,   633.40009,   633.62836,   633.03223,   632.29999,   630.93542,   631.87665,   798.37347,   636.00000,   996.00000,  1682.87781,  1750.00000,     0.00000,  1693.67419,     0.00000,  1725.47363,     0.00000
  10,   1,   1,   631.19989,   632.96008,   634.87634,   633.91937,   634.21802,   634.08789,   958.04822,   636.00000,   996.00000,  1627.24512,  1099.42126,     0.00000,  1750.00000,     0.00000,  2164.84497,     0.00000
  11,   1,   1,   632.29999,   631.41992,   632.07996,   630.68066,   632.29999,   631.61774,   738.76459,   636.00000,   996.00000,  1687.09998,  1406.09888,     0.00000,  1000.00000,     0.00000,  1448.22217,     0.00000
  12,   1,   1,   632.29999,   631.19165,   630.53979,   632.29999,   630.38196,   631.47113,   710.34747,   636.00000,   996.00000,  1642.90002,  1750.00000,     0.00000,  1476.47913,     0.00000,   788.96790,     0.00000
  13,   1,   1,   632.29999,   632.29999,   633.18011,   632.81250,   633.66455,   633.25903,     0.00000,   790.18445,   996.00000,  1684.87708,  1424.99780,     0.00000,  1750.00000,     0.00000,  1750.00000,     0.00000
  14,   1,   1,   632.29999,   633.40833,   632.29999,   632.89587,   631.74585,   631.34100,     0.00000,   912.88330,   996.00000,  1682.87781,  1665.47742,     0.00000,  1411.29321,     0.00000,  1750.00000,     0.00000
  15,   1,   1,   632.29999,   631.19165,   632.29999,   631.19165,   632.04376,   633.12891,     0.00000,   719.03333,   996.00000,  1646.07422,  2048.06226,     0.00000,  1750.00000,     0.00000,  1194.27649,     0.00000
  16,   1,   1,   632.29999,   633.40833,   632.29999,   633.91937,   632.55554,   631.59961,   710.46625,   719.03333,   996.00000,  1682.98315,   494.15192,     0.00000,  1732.47461,     0.00000,  1750.00000,     0.00000
  17,   1,   1,   632.29999,   631.19165,   632.29999,   630.68066,   632.29999,   631.89478,     0.00000,  1394.80005,   996.00000,  1681.17444,  1750.00000,     0.00000,  1227.88818,     0.00000,  1655.43237,     0.00000
  18,   1,   1,   632.29999,   632.29999,   632.29999,   632.29999,   631.49030,   632.29962,     0.00000,   636.00000,   996.00000,  1687.09998,  3215.65283,     0.00000,  1750.00000,     0.00000,  1306.73035,     0.00000
  19,   1,   1,   632.29999,   633.40833,   632.29999,   632.29999,   633.40833,   633.53339,   710.53070,  1840.17529,   996.00000,  2527.20654,  3336.71191,     0.00000,  4053.87012,     0.00000,  2500.00000,     0.00000
  20,   1,   1,   632.29999,   632.29999,   632.29999,   632.29999,   632.29999,   631.89514,   710.48645,  1604.09998,   996.00000,  3097.73340,  2500.00000,     0.00000,  2813.83130,     0.00000,  4070.54370,     0.00000
  21,   1,   1,   632.29999,   631.19165,   634.72845,   634.13910,   632.11121,   631.34369,   710.44220,  1604.09998,   996.00000,  3261.78784,  2500.00000,     0.00000,  2500.00000,     0.00000,  4236.28369,     0.00000
  22,   1,   1,   632.29999,   633.40833,   632.96008,   633.54944,   634.95258,   633.95978,   710.39795,  2212.34521,   996.00000,  3258.21753,  2203.17139,     0.00000,  2500.00000,     0.00000,  4316.68848,     0.00000
  23,   1,   1,   632.29999,   632.29999,   630.83490,   629.21149,   631.38043,   632.20563,     0.00000,   636.00000,   996.00000,  1770.13330,  1746.00000,     0.00000,  1415.66797,     0.00000,  1000.00000,     0.00000
  24,   1,   1,   632.29999,   631.19165,   631.19122,   634.50842,   630.75165,   633.53192,     0.00000,   636.00000,   996.00000,  1604.06665,  1750.00000,     0.00000,  1750.00000,     0.00000,  2420.04858,     0.00000
  25,   1,   1,   632.29999,   632.29999,   632.29852,   633.40009,   635.06262,   633.16650,     0.00000,   636.00000,   996.00000,  2222.70898,  1750.00000,     0.00000,  1750.00000,     0.00000,  2090.56372,     0.00000
  26,   1,   1,   632.29999,   633.40833,   633.40686,   630.09155,   631.74585,   631.06604,   710.51678,   636.00000,   996.00000,  1459.73987,  1704.96875,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  27,   1,   1,   632.29999,   631.19165,   630.67999,   633.91937,   630.89716,   631.80151,   710.47247,   636.00000,   996.00000,  1251.17395,   785.65594,     0.00000,  1750.00000,     0.00000,  1000.00000,     0.00000
  28,   1,   1,   632.29999,   633.40833,   634.50842,   632.88910,   634.51257,   634.50983,     0.00000,   636.00000,   996.00000,  2127.34302,  1574.16296,     0.00000,   415.05847,     0.00000,  1770.28577,     0.00000
  29,   1,   1,   632.29999,   631.19165,   630.09155,   630.09155,   630.38196,   630.21588,   253.00000,   636.00000,   757.07623,  1246.85693,  1000.00000,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  30,   1,   1,   632.29999,   632.29999,   632.29999,   632.81250,   631.45203,   632.70483,   710.50183,  1168.23352,   996.00000,  1687.09998,  1312.04968,     0.00000,   415.89996,     0.00000,  1143.99158,     0.00000
  31,   1,   1,   632.29999,   633.40833,   634.50842,   632.30066,   633.66492,   633.55286,   710.45758,  2216.24609,   996.00000,  3473.85156,  1043.00305,     0.00000,   414.07956,     0.00000,  1206.93872,     0.00000
  32,   1,   1,   632.29999,   631.19165,   631.71381,   631.78687,   630.93542,   629.81140,   710.41327,   636.00000,   996.00000,  1406.15808,  2500.00000,     0.00000,  2500.00000,     0.00000,  1000.00000,     0.00000
  33,   1,   1,   633.40009,   632.52002,   630.67773,   633.03223,   633.51788,   633.66406,     0.00000,   636.00000,   996.00000,  1687.09998,  3333.58203,     0.00000,  2500.00000,     0.00000,  2039.57153,     0.00000
  34,   1,   1,   632.29999,   634.28839,   633.91937,   634.87634,   632.84595,   632.30017,   710.42340,   636.00000,   996.00000,  1687.09998,  1981.92834,     0.00000,  2500.00000,     0.00000,  2384.22510,     0.00000
  35,   1,   1,   631.19989,   632.07996,   632.88910,   632.07996,   634.58649,   632.22662,     0.00000,   636.00000,   996.00000,  2123.39697,  1944.18323,     0.00000,  2500.00000,     0.00000,  2093.48267,     0.00000
  36,   1,   1,   632.29999,   630.31158,   630.09155,   630.53979,   630.20154,   632.07629,   610.65759,   636.00000,   996.00000,  1250.80310,  1945.31787,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  37,   1,   1,   632.29999,   633.40833,   632.29999,   633.18011,   631.85999,   633.71619,   710.40308,  1552.84802,   996.00000,  1440.47815,  1825.32849,     0.00000,   414.07956,     0.00000,  1750.00000,     0.00000
  38,   1,   1,   632.29999,   632.29999,   633.91937,   632.29999,   633.84839,   633.49963,     0.00000,   857.35193,   996.00000,  1881.71228,  1658.33093,     0.00000,  1793.52905,     0.00000,  1750.00000,     0.00000
  39,   1,   1,   632.29999,   631.19165,   630.68066,   632.29999,   631.19165,   629.92517,   710.41321,   636.00000,   996.00000,  1327.59998,   489.86551,     0.00000,  2500.00000,     0.00000,  1750.00000,     0.00000
  40,   1,   1,   632.29999,   633.40833,   633.91937,   632.29999,   632.29999,   633.95978,   863.67944,  1743.63416,   996.00000,  2295.28760,  1286.99316,     0.00000,  1750.00000,     0.00000,  1750.00000,     0.00000
  41,   1,   1,   632.29999,   631.19165,   631.19525,   632.29999,   632.29999,   631.41443,   710.30341,   666.56586,   996.00000,  2212.66675,  2500.00000,     0.00000,  1000.00000,     0.00000,  1750.00000,     0.00000
  42,   1,   1,   632.29999,   632.29999,   631.78540,   632.29999,   632.29999,   631.74585,     0.00000,   636.00000,   996.00000,  1680.87854,  4025.97998,     0.00000,  2967.55566,     0.00000,  1000.00000,     0.00000
  43,   1,   1,   632.29999,   633.40833,   633.91937,   632.29999,   633.40833,   633.40564,  1324.03247,  2218.32544,   996.00000,  3304.26880,  4010.65430,     0.00000,  3989.28076,     0.00000,  3925.26196,     0.00000
  44,   1,   1,   632.29999,   631.19165,   630.68066,   632.29999,   631.19165,   631.19440,  1323.93567,  2214.73242,   996.00000,  3303.16479,  4005.30176,     0.00000,  3990.97876,     0.00000,  3934.86694,     0.00000
  45,   1,   1,   632.29999,   632.29999,   632.52002,   634.72845,   633.51422,   632.85419,  1437.07227,  2251.02637,  1099.56921,  3982.80005,  4172.66895,     0.00000,  4138.00000,     0.00000,  4660.00000,     0.00000
  46,   1,   1,   633.40009,   633.62836,   635.38855,   634.07117,   635.50818,   633.40564,  1437.07227,  2249.92456,  1100.01758,  3982.80005,  4188.92871,     0.00000,  4138.00000,     0.00000,  4660.00000,     0.00000
  47,   1,   1,   631.19989,   631.85175,   631.49408,   629.72375,   630.78912,   632.35297,   709.76440,   636.00000,   996.00000,  1261.50903,  3644.74512,     0.00000,  3195.18652,     0.00000,  2500.00000,     0.00000
  48,   1,   1,   632.29999,   632.52826,   630.31311,   631.19122,   631.56580,   634.51117,   709.72028,   636.00000,   996.00000,  1276.63818,  2500.00000,     0.00000,  2500.00000,     0.00000,  4141.44189,     0.00000
  49,   1,   1,   632.29999,   632.29999,   633.99268,   632.29852,   630.63654,   632.04303,   709.67609,   636.00000,   996.00000,  1291.37012,  2498.00000,     0.00000,  2500.00000,     0.00000,  4133.98926,     0.00000
  50,   1,   1,   632.29999,   631.19165,   632.29999,   633.40686,   632.85272,   631.17749,   958.04822,   636.00000,   996.00000,  1832.29663,  2500.00000,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  51,   1,   1,   632.29999,   632.29999,   630.09155,   630.67999,   633.15173,   632.20679,  1117.72290,   636.00000,   996.00000,  2212.66675,  2500.00000,     0.00000,  2969.40454,     0.00000,  1750.00000,     0.00000
  52,   1,   1,   632.29999,   632.29999,   634.50842,   634.50842,   632.59418,   631.74463,     0.00000,   636.00000,   996.00000,  1303.71948,  2969.98730,     0.00000,  2500.00000,     0.00000,  2474.24072,     0.00000
  53,   1,   1,   632.29999,   632.29999,   630.09155,   630.09155,   631.19165,   631.89661,   709.50690,   636.00000,   996.00000,  1311.67322,  2473.08569,     0.00000,  2500.00000,     0.00000,  1997.51379,     0.00000
  54,   1,   1,   632.29999,   632.29999,   632.29999,   632.29999,   632.30414,   633.97858,     0.00000,   636.00000,   996.00000,  1697.77234,  2500.00000,     0.00000,  2766.40576,     0.00000,  2500.00000,     0.00000
  55,   1,   1,   632.29999,   633.40833,   633.91937,   634.50842,   632.29590,   630.78735,     0.00000,  1094.99268,   996.00000,  1944.09363,  3923.68604,     0.00000,  2500.00000,     0.00000,  2500.00000,     0.00000
  56,   1,   1,   632.29999,   632.29999,   630.68066,   631.71381,   634.21948,   632.85352,     0.00000,   946.08496,   996.00000,  2229.09961,  2500.00000,     0.00000,  4099.24658,     0.00000,  2500.00000,     0.00000
  57,   1,   1,   632.29999,   631.19165,   632.29999,   630.67773,   630.08746,   631.19440,   709.62579,   636.00000,   996.00000,  1330.28845,  1750.00000,     0.00000,  2500.00000,     0.00000,  4113.57080,     0.00000
  58,   1,   1,   632.29999,   633.40833,   634.13910,   633.91937,   633.40686,   634.36328,     0.00000,   773.45209,   996.00000,  1770.13330,  3903.18652,     0.00000,  2773.61548,     0.00000,  2500.00000,     0.00000
  59,   1,   1,   632.29999,   631.19165,   631.34100,   632.88910,   632.29590,   631.04785,   798.37347,   636.00000,   996.00000,  2182.47266,  2306.78491,     0.00000,  3152.95142,     0.00000,  2500.00000,     0.00000
