!Stage,Scenario,Best Integer Solution Found (k$),Best Bound (k$),Relative Gap (%),Time (s),MIP Threads,Heur. Method
1,1,-69455.3,-69444.9,   0.01509,847.118,8,1
1,1,-69518.2,-69471.6,   0.06704,635.835,8,1
1,1,-69604.7,-69532.1,   0.10436,326.079,8,1
1,1,-69742.3,-69612.6,   0.18596,530.533,8,1
1,1,-69832.8,-69757.9,   0.10713,376.981,8,1
1,1,-69867.7,-69851.1,   0.02372,674.429,8,1
1,1,-69939.1,-69892.4,   0.06690,464.927,8,1
1,1,-69973.8,-69957.5,   0.02329,346.725,8,1
1,1,-70096.5,-69982.6,   0.16246,577.324,8,1
1,1,-70203.8,-70108.7,   0.13544,273.92,8,1
1,1,-70244.7,-70232.5,   0.01737,1209.89,8,1
1,1,-70276.2,-70267.6,   0.01227,524.082,8,1
1,1,-70322.2,-70301.9,   0.02896,683.07,8,1
1,1,-70367.8,-70352.1,   0.02226,631.211,8,1
1,1,-70439.2,-70376.6,   0.08896,309.942,8,1
1,1,-70566.3,-70448.8,   0.16648,507.491,8,1
1,1,-70767.1,-70576.3,   0.26962,261.26,8,1
1,1,-70842.6,-70786.9,   0.07852,284.299,8,1
1,1,-70928.3,-70864.4,   0.09008,147.919,8,1
1,1,-70983.1,-70963.5,   0.02754,193.546,8,1
1,1,-71036.2,-71026.6,   0.01355,422.988,8,1
1,1,-71198.7,-71048.9,   0.21045,352.205,8,1
1,1,-71322.4,-71212.3,   0.15437,248.724,8,1
1,1,-71480.2,-71335,   0.20319,178.991,8,1
1,1,-71520.8,-71512.9,   0.01111,315.856,8,1
1,1,-71598.7,-71555.4,   0.06041,148.061,8,1
1,1,-71713.6,-71620.2,   0.13033,346.245,8,1
1,1,-71902.2,-71724.1,   0.24777,265.281,8,1
1,1,-71967,-71925.9,   0.05712,317.193,8,1
1,1,-72014.3,-71985.2,   0.04047,347.441,8,1
1,1,-72067.8,-72047.4,   0.02829,250.729,8,1
1,1,-72067.8,-72067.8,   0.00001,44.849,8,1
1,1,-71358.8,-71144.7,   0.30001,3982.26,8,1
1,1,-71358.8,-71144.7,   0.30001,0.0210001,8,1
