Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,    65.64944,    53.65746,    92.58197,    39.22131,    92.65719,    65.17732,    60.37086,     0.00000,   207.74251,   197.17523,   261.14194,   641.34161,   554.95972,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   2,   1,   1,    65.64944,    53.56806,    92.11800,    39.43139,    92.25506,    65.16613,    60.37086,     0.00000,   142.55519,   197.16678,   306.46371,   600.46472,   492.46823,   357.80722,     0.00000,     0.00000,     0.00000,     0.00000
   3,   1,   1,    65.64944,    53.56793,    92.67637,    39.28998,    92.65697,    65.52325,    60.37086,     0.00000,    69.60831,   197.15833,   302.96146,   541.55139,   389.26385,   599.38965,     0.00000,     0.00000,     0.00000,     0.00000
   4,   1,   1,    65.64944,    53.58328,    92.50745,    39.22570,    92.25565,    65.31788,    60.37086,     0.00000,    69.60831,   197.14987,   302.70486,   260.07932,   223.49983,   603.88428,     0.00000,     0.00000,     0.00000,     0.00000
   5,   1,   1,    65.64944,    53.56806,    92.11800,    39.32635,    92.13737,    65.20392,    60.37086,   261.52048,    69.60831,   197.14142,   291.58447,   370.68390,   223.49983,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   6,   1,   1,    65.64944,    53.56797,    92.51491,    39.32635,    92.41586,    65.31801,    60.37086,     0.00000,    98.02686,   197.13295,   303.81897,   472.08582,   354.16000,   230.00000,     0.00000,     0.00000,     0.00000,     0.00000
   7,   1,   1,    65.64944,    53.56799,    92.44025,    39.35814,    92.61385,    65.24745,    60.37086,     0.00000,    69.60831,   197.12450,   281.26010,   472.08197,   358.08319,   478.60138,     0.00000,     0.00000,     0.00000,     0.00000
   8,   1,   1,    65.64944,    53.56800,    92.36530,    39.29455,    92.41586,    65.19044,    60.37086,     0.00000,    74.99447,   197.11604,   306.00735,   447.08878,   389.26385,   442.39734,     0.00000,     0.00000,     0.00000,     0.00000
   9,   1,   1,    65.76072,    53.65112,    92.54696,    39.32635,    92.21788,    65.24570,    60.37086,   272.27591,    69.60831,   197.10759,   305.73627,   472.07605,   376.81479,   488.77762,     0.00000,     0.00000,     0.00000,     0.00000
  10,   1,   1,    65.56554,    53.61012,    92.79725,    39.42681,    92.69415,    65.47344,    60.37086,   317.31375,    69.60831,   197.09914,   297.22046,   297.96976,   389.26385,   610.41632,     0.00000,     0.00000,     0.00000,     0.00000
