Varia por patamar?      ,    0,Unidade ,     MW,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   16
Estg,Ser.,Pat.,PoR U1      ,Elf RapidsU1,GR U1       ,McA U1      ,DR U1       ,CF U1       ,TalR U1     ,MadridU1    ,TF U1       ,Tor U1      ,Ath U1 E    ,Ath U2 R    ,ES U1 E     ,ES U2 R     ,NeF U1 E    ,NeF U2 R    
   1,   1,   1,    65.64944,    53.65746,    92.58197,    39.22131,    92.65719,    65.17732,     0.00000,   207.74251,   197.17523,   261.14194,   641.34161,     0.00000,   554.95972,     0.00000,   230.00000,     0.00000
   2,   1,   1,    65.64944,    53.56806,    92.11800,    39.43139,    92.25506,    65.16613,     0.00000,   142.55519,   197.16678,   306.46371,   600.46472,     0.00000,   492.46823,     0.00000,   357.80722,     0.00000
   3,   1,   1,    65.64944,    53.56793,    92.67637,    39.28998,    92.65697,    65.52325,     0.00000,    69.60831,   197.15833,   302.96146,   541.55139,     0.00000,   389.26385,     0.00000,   599.38965,     0.00000
   4,   1,   1,    65.64944,    53.58328,    92.50745,    39.22570,    92.25565,    65.31788,     0.00000,    69.60831,   197.14987,   302.70486,   260.07932,     0.00000,   223.49983,     0.00000,   603.88428,     0.00000
   5,   1,   1,    65.64944,    53.56806,    92.11800,    39.32635,    92.13737,    65.20392,   261.52048,    69.60831,   197.14142,   291.58447,   370.68390,     0.00000,   223.49983,     0.00000,   230.00000,     0.00000
   6,   1,   1,    65.64944,    53.56797,    92.51491,    39.32635,    92.41586,    65.31801,     0.00000,    98.02686,   197.13295,   303.81897,   472.08582,     0.00000,   354.16000,     0.00000,   230.00000,     0.00000
   7,   1,   1,    65.64944,    53.56799,    92.44025,    39.35814,    92.61385,    65.24745,     0.00000,    69.60831,   197.12450,   281.26010,   472.08197,     0.00000,   358.08319,     0.00000,   478.60138,     0.00000
   8,   1,   1,    65.64944,    53.56800,    92.36530,    39.29455,    92.41586,    65.19044,     0.00000,    74.99447,   197.11604,   306.00735,   447.08878,     0.00000,   389.26385,     0.00000,   442.39734,     0.00000
   9,   1,   1,    65.76072,    53.65112,    92.54696,    39.32635,    92.21788,    65.24570,   272.27591,    69.60831,   197.10759,   305.73627,   472.07605,     0.00000,   376.81479,     0.00000,   488.77762,     0.00000
  10,   1,   1,    65.56554,    53.61012,    92.79725,    39.42681,    92.69415,    65.47344,   317.31375,    69.60831,   197.09914,   297.22046,   297.96976,     0.00000,   389.26385,     0.00000,   610.41632,     0.00000
  11,   1,   1,    65.67662,    53.48032,    92.38945,    39.22588,    92.41586,    65.21902,   255.37677,    69.60831,   197.09068,   306.03076,   380.05994,     0.00000,   223.49983,     0.00000,   411.83667,     0.00000
  12,   1,   1,    65.64944,    53.47464,    92.18339,    39.32635,    92.13758,    65.20392,   247.32210,    69.60831,   197.08223,   299.48224,   472.10217,     0.00000,   328.81061,     0.00000,   230.00000,     0.00000
  13,   1,   1,    65.64944,    53.56796,    92.56853,    39.35814,    92.61385,    65.38807,     0.00000,    83.13683,   197.07376,   305.63492,   385.12378,     0.00000,   389.26385,     0.00000,   495.45316,     0.00000
  14,   1,   1,    65.67662,    53.63260,    92.44015,    39.36332,    92.33546,    65.19052,     0.00000,    93.90274,   197.06531,   305.32895,   449.48859,     0.00000,   314.40332,     0.00000,   495.41736,     0.00000
  15,   1,   1,    65.64944,    53.47458,    92.44015,    39.25759,    92.37868,    65.37467,     0.00000,    76.89386,   197.05685,   300.00531,   551.78754,     0.00000,   389.26385,     0.00000,   341.67697,     0.00000
  16,   1,   1,    65.67662,    53.63260,    92.44015,    39.42681,    92.45293,    65.21716,   247.36745,    76.89386,   197.04840,   305.01852,   135.76147,     0.00000,   385.39041,     0.00000,   495.56799,     0.00000
  17,   1,   1,    65.64944,    53.47458,    92.44015,    39.22588,    92.41586,    65.24756,     0.00000,   136.18732,   197.03995,   304.77655,   472.13657,     0.00000,   273.86737,     0.00000,   469.36761,     0.00000
