Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  0.0000    ,  633.18    ,  632.30    ,  630.61    ,  632.85    ,  631.21    ,  631.21    ,  0.0000    ,  991.40    ,  962.80    ,  1331.6    ,  1282.3    ,  2212.3    ,  2627.9    ,  1331.6    ,  0.0000    ,  693.62    ,  693.62    
   2,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  633.99    ,  632.30    ,  631.10    ,  631.10    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1445.2    ,  2352.5    ,  2443.4    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
   3,   1,   1,  0.0000    ,  632.30    ,  633.41    ,  631.71    ,  632.85    ,  633.47    ,  634.57    ,  0.0000    ,  991.40    ,  962.80    ,  1609.6    ,  1682.2    ,  2186.2    ,  2123.6    ,  1609.6    ,  0.0000    ,  971.56    ,  971.56    
   4,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  630.68    ,  631.20    ,  632.58    ,  632.58    ,  0.0000    ,  991.40    ,  962.80    ,  1609.8    ,  1662.7    ,  1799.5    ,  1600.0    ,  1609.8    ,  0.0000    ,  971.80    ,  971.80    
   5,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  632.30    ,  631.49    ,  632.58    ,  1391.9    ,  0.0000    ,  991.40    ,  962.80    ,  1535.8    ,  1648.1    ,  1040.6    ,  1000.0    ,  1535.8    ,  0.0000    ,  897.84    ,  897.84    
   6,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  632.58    ,  632.58    ,  0.0000    ,  991.40    ,  962.80    ,  1617.7    ,  1605.3    ,  1446.9    ,  1118.2    ,  1617.7    ,  0.0000    ,  979.66    ,  979.66    
   7,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.81    ,  632.56    ,  630.79    ,  631.89    ,  0.0000    ,  991.40    ,  962.80    ,  1465.8    ,  1640.4    ,  1750.0    ,  1594.7    ,  1465.8    ,  0.0000    ,  827.77    ,  827.77    
   8,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  631.79    ,  632.30    ,  631.34    ,  631.34    ,  0.0000    ,  991.40    ,  962.80    ,  1631.8    ,  1552.1    ,  1731.3    ,  1637.1    ,  1631.8    ,  0.0000    ,  993.78    ,  993.78    
   9,   1,   1,  0.0000    ,  632.52    ,  632.52    ,  632.30    ,  632.04    ,  632.98    ,  1430.3    ,  0.0000    ,  991.40    ,  962.80    ,  1629.8    ,  1684.5    ,  1675.3    ,  1738.7    ,  1629.8    ,  0.0000    ,  991.78    ,  991.78    
  10,   1,   1,  0.0000    ,  632.96    ,  634.29    ,  633.92    ,  633.11    ,  632.98    ,  1592.1    ,  0.0000    ,  991.40    ,  962.80    ,  1574.1    ,  1671.8    ,  1619.9    ,  1704.9    ,  1574.1    ,  0.0000    ,  936.15    ,  936.15    
  11,   1,   1,  0.0000    ,  631.42    ,  632.08    ,  630.68    ,  632.30    ,  631.62    ,  1370.4    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1639.2    ,  1160.8    ,  1600.0    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  12,   1,   1,  0.0000    ,  632.30    ,  631.64    ,  632.30    ,  631.49    ,  632.58    ,  1341.8    ,  0.0000    ,  991.40    ,  962.80    ,  1589.8    ,  1678.3    ,  1474.9    ,  1095.3    ,  1589.8    ,  0.0000    ,  951.80    ,  951.80    
  13,   1,   1,  0.0000    ,  632.30    ,  633.18    ,  632.81    ,  632.56    ,  633.26    ,  633.26    ,  0.0000    ,  991.40    ,  962.80    ,  1631.8    ,  1651.3    ,  1685.0    ,  1531.2    ,  1631.8    ,  0.0000    ,  993.78    ,  993.78    
  14,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.90    ,  632.85    ,  631.34    ,  631.34    ,  0.0000    ,  991.40    ,  962.80    ,  1629.8    ,  1684.5    ,  1473.1    ,  1682.3    ,  1629.8    ,  0.0000    ,  991.78    ,  991.78    
  15,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  631.19    ,  632.04    ,  632.02    ,  633.13    ,  0.0000    ,  991.40    ,  962.80    ,  1593.0    ,  1675.5    ,  1742.0    ,  1479.0    ,  1593.0    ,  0.0000    ,  954.97    ,  954.97    
  16,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  633.92    ,  632.56    ,  632.71    ,  1342.1    ,  0.0000    ,  991.40    ,  962.80    ,  1629.9    ,  1653.5    ,  1737.3    ,  1746.5    ,  1629.9    ,  0.0000    ,  991.88    ,  991.88    
  17,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  630.68    ,  632.30    ,  631.89    ,  631.89    ,  0.0000    ,  991.40    ,  962.80    ,  1628.1    ,  1682.6    ,  745.32    ,  1631.6    ,  1628.1    ,  0.0000    ,  990.07    ,  990.07    
  18,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  631.49    ,  632.30    ,  632.30    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1682.4    ,  2043.1    ,  1332.3    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  19,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  632.43    ,  1344.1    ,  0.0000    ,  991.40    ,  962.80    ,  2474.1    ,  1855.1    ,  3239.9    ,  2210.8    ,  2474.1    ,  0.0000    ,  996.00    ,  996.00    
  20,   1,   1,  0.0000    ,  632.30    ,  632.30    ,  632.30    ,  632.30    ,  631.90    ,  1342.4    ,  0.0000    ,  991.40    ,  962.80    ,  3044.6    ,  2641.3    ,  3169.4    ,  3805.9    ,  3044.6    ,  0.0000    ,  996.00    ,  996.00    
  21,   1,   1,  0.0000    ,  632.30    ,  633.63    ,  634.14    ,  633.22    ,  632.45    ,  1341.8    ,  0.0000    ,  991.40    ,  962.80    ,  3208.7    ,  3130.5    ,  2500.0    ,  2751.1    ,  3208.7    ,  0.0000    ,  996.00    ,  996.00    
  22,   1,   1,  0.0000    ,  632.30    ,  632.96    ,  633.55    ,  633.84    ,  632.85    ,  1344.4    ,  0.0000    ,  991.40    ,  962.80    ,  3205.1    ,  3261.1    ,  2440.6    ,  2500.0    ,  3205.1    ,  0.0000    ,  996.00    ,  996.00    
  23,   1,   1,  0.0000    ,  632.30    ,  631.42    ,  629.21    ,  631.38    ,  632.21    ,  632.21    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  2960.6    ,  2111.7    ,  2283.1    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
  24,   1,   1,  0.0000    ,  632.30    ,  631.19    ,  634.51    ,  631.86    ,  633.53    ,  633.53    ,  0.0000    ,  991.40    ,  962.80    ,  1634.0    ,  1736.9    ,  1746.8    ,  1482.5    ,  1634.0    ,  0.0000    ,  996.00    ,  996.00    
