Varia por patamar?      ,    0,Unidade ,   m3/s,     4,     1,  2037,
Varia por serie?        ,    0
# de agentes            ,   18
Estg,Ser.,Pat.,Point Rapids,Elf Rapids  ,Giant Rapids,McArthur    ,Dog Rapids  ,Cat Falls   ,London      ,Tall Rapids ,Madrid      ,Tin Falls   ,Toronto     ,Athens      ,EastSpruce  ,New Falls   ,Edmonton    ,Moscow      ,Calgary     ,Furry Rapids
   1,   1,   1,  632.30    ,  633.18    ,  633.40    ,  630.61    ,  633.96    ,  631.21    ,  943.00    ,  0.0000    ,  2210.3    ,  996.00    ,  1384.7    ,  2383.0    ,  2500.0    ,  791.28    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   2,   1,   1,  632.30    ,  632.30    ,  630.09    ,  633.99    ,  631.19    ,  631.10    ,  943.00    ,  0.0000    ,  1467.4    ,  996.00    ,  1687.1    ,  2230.2    ,  2217.0    ,  1252.5    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   3,   1,   1,  632.30    ,  632.30    ,  633.92    ,  631.71    ,  633.96    ,  634.57    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1662.7    ,  2009.9    ,  1750.0    ,  2124.2    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   4,   1,   1,  632.30    ,  632.30    ,  632.89    ,  630.68    ,  631.20    ,  632.58    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1662.9    ,  957.99    ,  1000.0    ,  2141.5    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   5,   1,   1,  632.30    ,  632.30    ,  630.09    ,  632.30    ,  630.38    ,  631.47    ,  943.00    ,  760.44    ,  636.00    ,  996.00    ,  1588.9    ,  1371.1    ,  1000.0    ,  789.61    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   6,   1,   1,  632.30    ,  632.30    ,  632.81    ,  632.30    ,  632.30    ,  632.58    ,  943.00    ,  0.0000    ,  959.89    ,  996.00    ,  1670.8    ,  1750.0    ,  1591.2    ,  788.97    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   7,   1,   1,  632.30    ,  632.30    ,  632.30    ,  632.81    ,  633.66    ,  631.89    ,  943.00    ,  0.0000    ,  636.00    ,  996.00    ,  1518.9    ,  1750.0    ,  1608.9    ,  1688.9    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   8,   1,   1,  632.30    ,  632.30    ,  631.79    ,  631.79    ,  632.30    ,  631.34    ,  943.00    ,  0.0000    ,  697.39    ,  996.00    ,  1684.9    ,  1656.6    ,  1750.0    ,  1558.0    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
   9,   1,   1,  633.40    ,  633.63    ,  633.03    ,  632.30    ,  630.94    ,  631.88    ,  943.00    ,  798.37    ,  636.00    ,  996.00    ,  1682.9    ,  1750.0    ,  1693.7    ,  1725.5    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
  10,   1,   1,  631.20    ,  632.96    ,  634.88    ,  633.92    ,  634.22    ,  634.09    ,  943.00    ,  958.05    ,  636.00    ,  996.00    ,  1627.2    ,  1099.4    ,  1750.0    ,  2164.8    ,  0.0000    ,  962.80    ,  0.0000    ,  0.0000    
